,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,wID,x,y,Views,Weight,Main topic,Subtopic
1447,1.0,1016076.0,"Изотов, Владимир Викторович",39.0,0.9899964332580566,Q4198788,Culture.Biography.Biography*,133.0,0.0,36.0,26.0,236.0,10.0,1016076.0,1307.4031,1770.6475,631.0,0.9899964332580566,Culture,Biography*
1448,1.0,1016698.0,"Орельяна, Франсиско де",11.0,0.9783946871757508,Q207901,Culture.Biography.Biography*,192.0,0.0,192.0,5.0,192.0,10.0,1016698.0,1684.0238,-1064.5897,332.0,0.9783946871757508,Culture,Biography*
1449,2.0,1018158.0,"Рэмплинг, Шарлотта",27.0,0.9972950220108032,Q234679,Culture.Biography.Biography*,192.0,17912.43870534484,192.0,22.0,192.0,11.919192,1018158.0,-854.0378400000003,134.54883999999998,2227.0,1.9945900440216064,Culture,Biography*
1450,11.0,1019185.0,"Раньери, Клаудио",24.0,1.0000100135803225,Q235068,Culture.Biography.Biography*,0.0,29388.889771703667,172.0,0.0,0.0,29.19192,1019185.0,-380.79688,435.6868,2414.0,11.000110149383547,Culture,Biography*
1451,1.0,1023729.0,"Фунтиков, Василий Владимирович",2.0,0.9958112239837646,Q4493465,Culture.Biography.Biography*,167.0,0.0,127.0,1.0,0.0,10.0,1023729.0,-3112.586,712.2697,1248.0,0.9958112239837646,Culture,Biography*
1452,3.0,1025712.0,Ми-171,13.0,0.287777841091156,Q10851667,Culture.Visual_arts.Visual_arts*,192.0,1.0,192.0,15.0,192.0,13.838384,1025712.0,-314.47195,-1989.1731,1906.0,0.863333523273468,Culture,Visual_arts*
1453,11.0,1026193.0,Президентские выборы в США (2008),1.0,0.9986850023269652,Q45578,History_and_Society.Politics_and_government,0.0,1025.1597622801519,153.0,6.0,89.0,29.19192,1026193.0,1515.4198,1455.7339,1104.0,10.985535025596617,History_and_Society,Politics_and_government
1454,8.0,1027856.0,Harland and Wolff,20.0,0.546748161315918,Q848977,History_and_Society.Business_and_economics,234.0,10985.78598907423,159.0,29.0,0.0,23.434343,1027856.0,-3134.6462,-1236.8339999999996,426.0,4.373985290527344,History_and_Society,Business_and_economics
1455,21.0,1027995.0,White Star Line,20.0,0.7931159734725952,Q320466,History_and_Society.Transportation,234.0,751.6458511895434,159.0,29.0,0.0,48.38384,1027995.0,-3378.1108,-1677.4965,1371.0,16.6554354429245,History_and_Society,Transportation
1456,13.0,1028837.0,"Бенитес, Рафаэль",24.0,0.998977780342102,Q144048,Culture.Biography.Biography*,0.0,68115.28725874463,172.0,0.0,0.0,33.030304,1028837.0,187.64793,836.0311,1687.0,12.986711144447327,Culture,Biography*
1457,4.0,1029342.0,"Голдуотер, Барри Моррис",1.0,0.9990094900131226,Q319129,Culture.Biography.Biography*,0.0,12550.398233943979,153.0,6.0,89.0,15.757576,1029342.0,2391.2615,1577.7368,650.0,3.9960379600524902,Culture,Biography*
1458,1.0,1029442.0,"Метлицкая, Ирина Юрьевна",37.0,0.991162657737732,Q4291794,Culture.Biography.Biography*,192.0,0.0,192.0,3.0,192.0,10.0,1029442.0,-1211.6093,1665.7181,4837.0,0.991162657737732,Culture,Biography*
1459,2.0,1032222.0,Суворовское военное училище,11.0,0.9808859825134276,Q1995987,History_and_Society.Military_and_warfare,192.0,14298.012478731474,192.0,1.0,192.0,11.919192,1032222.0,1649.6566,-1104.615,2542.0,1.9617719650268552,History_and_Society,Military_and_warfare
