,Label,Modularity Class,wID,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
1459600,"Полицеймако, Михаил Семёнович",39,1459600,10.0,236,36,133,377.0414,1713.853,1459600,1,16,0.0,Q3856333
1461440,Городские легенды (фильм),9,1461440,10.0,150,127,0,2929.7717,452.55606,1461440,1,13,0.0,Q747940
1467102,Орден «Слава» (Азербайджан),18,1467102,13.838384,132,111,233,-253.4433,2583.4697,1467102,3,10,90825.22048070161,Q2032408
1467190,Орден «Дружба»,18,1467190,23.434343,132,111,233,477.07956,3233.1406,1467190,8,10,34396.83552818806,Q2030538
1473614,"Ташкова, Татьяна Александровна",2,1473614,13.838384,0,127,167,-2478.3047,1192.3302,1473614,3,3,7575.421403718185,Q4453018
1478883,Филипе Луис,26,1478883,10.0,253,65,0,-1404.8313,-656.5524,1478883,1,2,0.0,Q350547
1482503,"Вальбуэна, Матьё",25,1482503,10.0,192,192,192,80.06443,-770.9542,1482503,1,4,0.0,Q1919
1482571,Порт-Артурская икона Божией Матери,12,1482571,11.919192,192,192,192,1456.8557,967.18494,1482571,2,34,0.0,Q4373190
1484686,Организованная преступная группа,18,1484686,11.919192,132,111,233,471.33636,3147.7505,1484686,2,10,3099.0,Q4335775
1485959,"Осмоловская, Джемма Григорьевна",39,1485959,10.0,236,36,133,330.4722,1585.4806,1485959,1,26,0.0,Q4338065
1486139,Премьер-министр Словении,6,1486139,13.838384,192,192,192,-1678.556,1953.2678,1486139,3,23,5585.365942713417,Q45758
1486509,"Ганелин, Евгений Рафаилович",37,1486509,15.757576,192,192,192,-1492.4338,1663.4982,1486509,4,3,6196.0,Q4133257
1487411,Наименования Российского государства,41,1487411,10.0,155,95,153,-2343.6401,-2558.5203,1487411,1,31,0.0,Q4312346
1489846,"Толстая, Софья Андреевна",10,1489846,19.595959,195,78,71,351.81564,-1744.911,1489846,6,9,21967.105426223487,Q271934
1490194,Самый лучший фильм 2,17,1490194,10.0,0,134,233,-552.9559,-2757.0132,1490194,1,22,0.0,Q4407199
1492886,"Кручина, Николай Ефимович",27,1492886,10.0,192,192,192,-655.46344,-103.96674,1492886,1,22,0.0,Q1990833
1493149,"Абдулов, Виталий Зинурович",33,1493149,10.0,0,140,23,-464.57745,1370.7935,1493149,1,21,0.0,Q4054609
1494287,Реал Вальядолид,25,1494287,23.434343,192,192,192,356.56143,-872.3837,1494287,8,2,55768.20148585113,Q10319
1494783,Немецкая оккупация Харькова,31,1494783,17.676767,255,0,77,1328.3688,-1155.327,1494783,5,1,10864.796835152774,Q4316884
1497883,"Орлов, Геннадий Сергеевич",29,1497883,10.0,0,168,182,1888.2057,71.98292,1497883,1,4,0.0,Q4336657
1500878,"Пеппи Длинныйчулок (фильм, 1984)",9,1500878,10.0,150,127,0,2881.8435,391.05948,1500878,1,3,0.0,Q1309798
1504652,Жертвоприношение Исаака,16,1504652,11.919192,98,125,18,1844.47,-1849.9657,1504652,2,33,0.0,Q5007906
1508965,"Гомис, Бафетимби",26,1508965,11.919192,253,65,0,-1031.4172,-1520.5648,1508965,2,0,247.654354509314,Q11966
1509261,"Федорив, Виталий Николаевич",29,1509261,11.919192,0,168,182,1185.482,230.61269,1509261,2,4,3099.0,Q2633469
1510575,Алавес,25,1510575,11.919192,192,192,192,399.2936,-750.6081,1510575,2,2,0.0,Q223620
1510766,"Датта, Лара",9,1510766,13.838384,150,127,0,2612.8796,598.26843,1510766,3,13,6196.0,Q290438
1510768,Феи (мультфильм),17,1510768,10.0,0,134,233,-754.4209,-2825.043,1510768,1,22,0.0,Q550571
1513663,E.B.R.75,14,1513663,11.919192,0,134,82,-2502.1116,68.578445,1513663,2,7,2421.358809234867,Q586620
1513960,Ари (футболист),29,1513960,10.0,0,168,182,1523.3651,-353.9536,1513960,1,4,0.0,Q654041
1517237,Карс (ил),16,1517237,10.0,98,125,18,2207.0159,-1840.712,1517237,1,33,0.0,Q83077
1518509,Чемпионат Венгрии по футболу,26,1518509,21.515152,253,65,0,-1937.3174,-1298.9785,1518509,7,2,14041.003618481927,Q276085
1518746,Этуаль дю Сахель,29,1518746,10.0,0,168,182,2028.462,465.77426,1518746,1,4,0.0,Q290540
1521506,Натурализация,41,1521506,13.838384,155,95,153,-2505.6013,-2990.8142,1521506,3,8,6642.286955654585,Q841440
1523236,Лентяево,23,1523236,15.757576,192,192,192,374.78787,-327.60303,1523236,4,40,6192.5,Q640403
1526878,"Блинд, Дейли",24,1526878,19.595959,0,172,0,917.57465,556.45294,1526878,6,0,2245.3996319265043,Q128912
1527657,"Котова, Анна Викторовна",21,1527657,11.919192,0,136,132,-3399.3518,-533.6759,1527657,2,12,3099.0,Q4236192
1531323,Почти смешная история,9,1531323,10.0,150,127,0,2664.4583,709.2055,1531323,1,3,0.0,Q4375374
1532260,"Нефёдов, Игорь Вячеславович",39,1532260,15.757576,236,36,133,598.97015,1905.3999,1532260,4,16,39920.02597296087,Q4318167
1532278,"Яковлев, Антон Юрьевич",39,1532278,10.0,236,36,133,733.1891,1741.4939,1532278,1,3,0.0,Q4536856
1532293,Ошибка инженера Кочина,18,1532293,10.0,132,111,233,-877.794,3385.9832,1532293,1,10,0.0,Q4340786
1538319,"Малышев, Вячеслав Александрович",14,1538319,11.919192,0,134,82,-2388.721,-86.21202,1538319,2,7,0.0,Q1506098
1540111,ТСВ (телеканал),26,1540111,10.0,253,65,0,-1198.2041,-1232.2605,1540111,1,2,0.0,Q4449064
1544749,Лига чемпионов УЕФА 2009/2010,26,1544749,61.818184,253,65,0,-450.786,-1013.1112,1544749,28,2,67963.36984794453,Q184182
1545163,Очень русский детектив,10,1545163,10.0,195,78,71,368.6612,-1475.8275,1545163,1,9,0.0,Q4340667
1549093,Т-64БМ,14,1549093,23.434343,0,134,82,-2206.4485,187.38545,1549093,8,7,11982.171877306648,Q4448830
1550047,"Рэтбоун, Джексон",36,1550047,10.0,192,192,192,134.2606,1568.2805,1550047,1,35,0.0,Q223854
1551029,"Дмитриев, Иван Петрович",39,1551029,11.919192,236,36,133,813.10114,1673.318,1551029,2,3,7821.629679454071,Q4162746
1552855,Чемпионат Норвегии по футболу,26,1552855,34.949493,253,65,0,-2350.219,-1142.7628,1552855,14,2,22575.68653082793,Q201671
1553216,Сумерки (роман),36,1553216,17.676767,192,192,192,58.055466,1456.3641,1553216,5,35,0.75,Q189378
1553283,"Мигуля, Владимир Георгиевич",18,1553283,13.838384,132,111,233,-570.33746,3213.5283,1553283,3,16,4402.907457556797,Q4292777
1554323,"Пойет, Густаво",25,1554323,11.919192,192,192,192,-36.133163,-751.96954,1554323,2,25,16129.412636220226,Q338595
1554866,Моя семья (телепередача),37,1554866,10.0,192,192,192,-1313.479,1631.6439,1554866,1,16,0.0,Q4305477
1555299,Реал Сосьедад,25,1555299,17.676767,192,192,192,118.45761,-840.9108,1555299,5,2,15603.241138706328,Q10315
1556438,Коломенский дворец,18,1556438,10.0,132,111,233,-114.567,2983.547,1556438,1,10,0.0,Q4228335
1557211,"Ланская, Валерия Александровна",18,1557211,13.838384,132,111,233,-1236.6068,3248.347,1557211,3,28,18569.0,Q4253994
1558150,Гран Торино,0,1558150,13.838384,208,105,0,-1863.0809,1421.9099,1558150,3,11,27873.451535711712,Q126699
1560334,"Вихров, Владимир Владимирович",17,1560334,15.757576,0,134,233,-1160.6339,-2928.5269,1560334,4,22,78736.95175038741,Q4112569
1562255,"Морозов, Семён Михайлович",2,1562255,11.919192,0,127,167,-2197.3506,805.1603,1562255,2,3,2065.8970009689224,Q4303011
1562525,"Уилшир, Джек",24,1562525,13.838384,0,172,0,515.6143,1258.1047,1562525,3,0,2174.802000724893,Q15199
1568258,"Витт, Ян де",0,1568258,10.0,208,105,0,-2158.267,1332.4506,1568258,1,11,0.0,Q318362
1570160,Спящая красавица,17,1570160,15.757576,0,134,233,-1031.289,-2615.9724,1570160,4,22,389.0383594692626,Q11824
1570804,"Фирташ, Дмитрий Васильевич",41,1570804,17.676767,155,95,153,-2777.2808,-2702.575,1570804,5,8,11638.70138028817,Q906898
1572004,"Николоди, Дария",15,1572004,13.838384,192,192,192,1308.2852,-1690.0156,1572004,3,13,0.0,Q696306
1573026,Новоозёрное (Крым),19,1573026,13.838384,192,192,192,2286.1064,-546.0628,1573026,3,7,3099.0,Q3889296
1574577,Зоопарк (РЛС),14,1574577,11.919192,0,134,82,-2346.1611,-360.00357,1574577,2,7,6195.999999999999,Q4193909
1574865,Убойная сила (сезон 1),37,1574865,15.757576,192,192,192,-1506.1329,1844.9865,1574865,4,3,2284.0141514805955,Q4468689
1575591,Убойная сила (сезон 2),37,1575591,25.353535,192,192,192,-1353.2072,1425.8322,1575591,9,3,12059.992596996799,Q4468692
1575676,"Манучаров, Вячеслав Рафаэльевич",21,1575676,11.919192,0,136,132,-3160.8965,-759.9523,1575676,2,3,9291.0,Q4280756
1576834,Убойная сила (сезон 3),37,1576834,21.515152,192,192,192,-1456.8765,1743.2991,1576834,7,3,11896.169056521027,Q4468693
1578381,Убойная сила (сезон 4),37,1578381,25.353535,192,192,192,-1619.2405,1464.2949,1578381,9,3,173554.84936790715,Q4468696
1578961,Убойная сила (сезон 5),37,1578961,21.515152,192,192,192,-1254.27,1817.5121,1578961,7,3,117984.55246270314,Q4468697
1579719,Убойная сила (сезон 6),37,1579719,21.515152,192,192,192,-992.0129,1581.1326,1579719,7,3,31570.77743231781,Q4468698
1581607,"Бирин, Андрей Александрович",17,1581607,10.0,0,134,233,-679.2372,-2704.0693,1581607,1,22,0.0,Q4087012
1583069,"Кара-Мурза, Георгий Сергеевич",33,1583069,19.595959,0,140,23,-741.52313,1758.5585,1583069,6,21,0.0,Q4213410
1586714,Глиобластома,1,1586714,11.919192,89,153,0,1951.5673,1203.473,1586714,2,6,3099.0,Q282142
1589423,Большие противолодочные корабли проекта 1155,11,1589423,15.757576,192,192,192,1803.1464,-949.70984,1589423,4,5,2647.8044545912444,Q1052123
1592840,"Клаван, Рагнар",24,1592840,10.0,0,172,0,612.0264,1183.9994,1592840,1,0,0.0,Q458302
1593355,"Мур, Алан",20,1593355,10.0,0,159,234,-2564.6875,-1469.591,1593355,1,29,0.0,Q205739
1598664,"Плохая компания (фильм, 2002)",15,1598664,11.919192,192,192,192,1274.5121,-2003.2977,1598664,2,11,3099.0,Q798673
1599039,Солнцево (электродепо),5,1599039,38.78788,192,192,192,3338.8865,-891.5423,1599039,16,30,1366.081436600853,Q4427893
1599878,Религия в Казахстане,16,1599878,10.0,98,125,18,2001.0536,-1875.5747,1599878,1,33,0.0,Q1048471
1600857,"Беннетт, Джимми",15,1600857,13.838384,192,192,192,839.212,-1972.6266,1600857,3,13,3099.0,Q4349
1605574,Лига чемпионов УЕФА 2002/2003,26,1605574,54.141415,253,65,0,-1161.4299,-1820.3872,1605574,24,2,6702.50351263854,Q455978
1605605,Белла Свон,36,1605605,17.676767,192,192,192,45.826126,1543.1208,1605605,5,35,0.75,Q223757
1605759,"Григорян, Александр Витальевич",29,1605759,19.595959,0,168,182,1349.202,253.92676,1605759,6,4,90235.09314688251,Q4149411
1606505,Вооружённые силы Таджикистана,1,1606505,11.919192,89,153,0,1552.8557,1108.1936,1606505,2,6,3099.0,Q947714
