,Label,Modularity Class,wID,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
3048148,"Астор,_Мадлен",20,3048148,23.434343,0,159,234,-3537.8503,-1816.8595,3048148,8,29,96.84919119518806
3055124,"Флит,_Фредерик",20,3055124,25.353535,0,159,234,-3651.3787,-1152.7992,3055124,9,29,3869.502968754218
3056876,"Кэнди,_Хелен_Черчилль",20,3056876,11.919192,0,159,234,-3207.061,-1410.8838,3056876,2,29,0.25
3062383,Жуниор_Мораес,29,3062383,10.0,0,168,182,1321.9207,83.02747,3062383,1,4,0.0
3062605,"Васильев,_Константин_Иванович",18,3062605,10.0,132,111,233,-10.237464,2842.9465,3062605,1,10,0.0
3063815,Очень_плохая_училка,16,3063815,10.0,98,125,18,2043.9806,-1599.829,3063815,1,10,0.0
3063828,"Стед,_Уильям_Томас",20,3063828,11.919192,0,159,234,-3292.7937,-1148.955,3063828,2,29,0.0
3067877,"Дурова,_Екатерина_Львовна",21,3067877,11.919192,0,136,132,-3072.9043,-465.2214,3067877,2,3,3099.0
3068123,"Доманский,_Андрей_Юрьевич",1,3068123,13.838384,89,153,0,2045.6194,1126.2933,3068123,3,6,11404.24301646249
3070649,Калифорниэн,20,3070649,21.515152,0,159,234,-3199.1768,-1361.7384,3070649,7,29,216.91370592834755
3074728,Список_финалов_Кубка_УЕФА_и_Лиги_Европы_УЕФА,26,3074728,33.030304,253,65,0,18.653273,-1205.9143,3074728,13,2,10281.027368836021
3075381,День_подразделений_специального_назначения_внутренних_войск_МВД_России,14,3075381,10.0,0,134,82,-2186.224,-306.26392,3075381,1,7,0.0
3075831,Бланка_II_Наваррская,25,3075831,10.0,192,192,192,309.27606,-840.5293,3075831,1,4,0.0
3093132,Ахен,24,3093132,11.919192,0,172,0,300.64993,137.10236,3093132,2,0,0.0
3108019,"Центральный_(стадион,_Красноярск)",29,3108019,11.919192,0,168,182,1278.8654,506.76953,3108019,2,4,1867.6746525224307
3112788,"Игнатьева,_Валентина_Васильевна",9,3112788,10.0,150,127,0,3005.814,324.6699,3112788,1,13,0.0
3114981,Сарпсборг_08,26,3114981,23.434343,253,65,0,-1046.2267,-1392.7272,3114981,8,2,6741.095311856029
3115283,"Рондон,_Хосе_Саломон",24,3115283,15.757576,0,172,0,83.58759,975.44006,3115283,4,4,14605.641432712187
3115287,"Савич,_Стефан",25,3115287,17.676767,192,192,192,299.1127,-687.1666,3115287,5,2,2968.586001121392
3122106,"Де_Йонг,_Люк",24,3122106,23.434343,0,172,0,618.8298,825.6953,3122106,8,0,6297.6168238479395
3122351,"Перес_Мартинес,_Лукас",25,3122351,10.0,192,192,192,-227.20937,-647.34064,3122351,1,4,0.0
3123760,Призрачное_лицо,9,3123760,31.11111,150,127,0,3491.9517,378.3038,3123760,12,13,2398.181545907688
3131971,Коричневая_бойга,6,3131971,10.0,192,192,192,-1176.1083,2077.267,3131971,1,23,0.0
3135467,Судува,26,3135467,11.919192,253,65,0,-1982.2736,-993.13794,3135467,2,2,14.543302925032467
