,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Views,Weight,Main topic,Subtopic
1898,23.0,3389720.0,Dick Kazmaier,1.0000100135803225,Q5273083,Culture.Biography.Biography*,97.0,19.422777274767,136.0,34.0,0.0,24.121622,-17.92237,-21.546616,2411.0,23.000230312347416,Culture,Biography*
1899,22.0,3389729.0,Vic Janowicz,1.0000100135803225,Q7924830,Culture.Sports,97.0,27033.59321936317,136.0,34.0,0.0,23.47973,-21.299,-11.737111,4680.0,22.000220298767093,Culture,Sports
1900,22.0,3389824.0,Larry Kelley,0.9995794296264648,Q3218066,Culture.Biography.Biography*,97.0,5.754154675908798,136.0,34.0,0.0,23.47973,21.010735999999998,-14.528147,2072.0,21.990747451782227,Culture,Biography*
1901,12.0,3393061.0,2000 FIFA Club World Championship,0.9972090721130372,Q500565,Culture.Sports,0.0,0.0,122.0,4.0,154.0,17.06081,22.903416,6.226428,4324.0,11.966508865356447,Culture,Sports
1902,1.0,3400327.0,Nik Powell,0.9995657801628112,Q7034649,Culture.Biography.Biography*,192.0,0.0,192.0,45.0,192.0,10.0,10.10647,-13.411813,2872.0,0.9995657801628112,Culture,Biography*
1903,190.0,3414021.0,George W. Bush,0.9972950220108032,Q207,Culture.Biography.Biography*,190.0,1914335.0424714184,119.0,0.0,60.0,131.31757,17.038202,-16.130394,2872227.0,189.4860541820526,Culture,Biography*
1904,74.0,3418303.0,Harry S. Truman,0.9972950220108032,Q11613,Culture.Biography.Biography*,190.0,431336.2540237866,119.0,0.0,60.0,56.858109999999996,-7.5318837,-8.027318,157955.0,73.79983162879944,Culture,Biography*
1905,4.0,3439288.0,Manuel Dorrego,0.9539760947227478,Q2562334,Culture.Biography.Biography*,0.0,0.25,122.0,4.0,154.0,11.925675,-12.519296,2.5653763,1001.0,3.815904378890991,Culture,Biography*
1906,3.0,3443729.0,Lincoln Kennedy,0.9994029402732848,Q6550797,Culture.Sports,240.0,1273.3979574509406,174.0,3.0,0.0,11.283783999999999,-18.223282,11.0813,2707.0,2.9982088208198543,Culture,Sports
1907,9.0,3445890.0,Nancy Wilson/Cannonball Adderley,0.9935217499732972,Q6963082,Culture.Media.Music,145.0,0.0,0.0,1.0,254.0,15.135136,-22.54745,-8.505173,0.0,8.941695749759676,Culture,Music
1908,64.0,3446092.0,Partition of sums of squares,0.2942249774932861,Q7140649,STEM.Biology,156.0,0.0,77.0,40.0,187.0,50.43919,-8.303704,-6.756283,9083.0,18.83039855957031,STEM,Biology
1909,3.0,3448209.0,Gene Nelson,0.9994907379150392,Q1501413,Culture.Biography.Biography*,192.0,21988.000000000004,192.0,55.0,192.0,11.283783999999999,-17.751278,17.537878,5007.0,2.9984722137451176,Culture,Biography*
1910,1.0,3448405.0,Ellen Drew,1.0000100135803225,Q275764,Culture.Biography.Biography*,95.0,0.0,73.0,18.0,199.0,10.0,-3.9875398,10.821355,3410.0,1.0000100135803225,Culture,Biography*
1911,3.0,3456027.0,Speedy (Mia Dearden),0.9996055364608764,Q280976,Culture.Literature,192.0,0.0,192.0,16.0,192.0,11.283783999999999,3.1581528,-3.2449024,6068.0,2.998816609382629,Culture,Literature
1912,2.0,3459930.0,Saarland University,0.9697954058647156,Q700758,Geography.Regions.Europe.Western_Europe,255.0,0.0,135.0,8.0,0.0,10.6418915,-4.1773963,10.557967999999999,2154.0,1.9395908117294312,Geography,Western_Europe
1913,9.0,3460860.0,Lothian Buses,0.40734341740608215,Q6684760,History_and_Society.Transportation,192.0,592.6063164258701,192.0,24.0,192.0,15.135136,-2.6001513,-20.981436,1952.0,3.6660907566547394,History_and_Society,Transportation
1914,6.0,3463001.0,Aaron Smith (American football),0.9883227348327636,Q4662451,Culture.Sports,65.0,125.98462751527687,15.0,23.0,255.0,13.209458999999999,21.440046,-11.056573,2060.0,5.929936408996581,Culture,Sports
1915,6.0,3466113.0,Fort Apache (film),0.9969346523284912,Q773276,Culture.Media.Films,95.0,161688.38504220732,73.0,18.0,199.0,13.209458999999999,13.560481,-9.3243685,3853.0,5.981607913970947,Culture,Films
1916,2.0,3475262.0,Tab Clear,0.9967369437217712,Q7672843,Culture.Food_and_drink,190.0,0.0,119.0,0.0,60.0,10.6418915,0.31862822,9.906435,3999.0,1.9934738874435425,Culture,Food_and_drink
1917,1.0,3482529.0,Journey South,0.7057950496673584,Q675111,Culture.Biography.Biography*,192.0,0.0,192.0,47.0,192.0,10.0,-11.504694,4.0496097,1698.0,0.7057950496673584,Culture,Biography*
1918,1.0,3483943.0,Mark Rhodes,0.9946250915527344,Q16221541,Culture.Biography.Biography*,145.0,0.0,163.0,9.0,0.0,10.0,-15.009429999999998,-1.6587623,10829.0,0.9946250915527344,Culture,Biography*
1919,2.0,3487153.0,Marzahn,0.952584147453308,Q702521,Geography.Regions.Europe.Europe*,192.0,136875.0,192.0,20.0,192.0,10.6418915,-10.945089,-17.380209,3589.0,1.905168294906616,Geography,Europe*
1920,1.0,3489176.0,One-inch punch,0.9836069941520692,Q2531197,Culture.Sports,175.0,0.0,145.0,32.0,0.0,10.0,-10.687733999999999,13.966001,4043.0,0.9836069941520692,Culture,Sports
