,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views
97,12.0,1859.0,伽利略·伽利莱,0.11280541121959685,Q307,History_and_Society.Society,1859.0,34267.339577551385,3.0,3666.0
98,12.0,1859.0,伽利略·伽利莱,0.0,Q307,Geography.Regions.Europe.Southern_Europe,1859.0,34267.339577551385,3.0,3666.0
99,54.0,1987.0,臺灣問題,0.5234303474426271,Q706243,History_and_Society.Politics_and_government,1987.0,241129.67209186679,0.0,3273.0
100,54.0,1987.0,臺灣問題,0.3073680400848389,Q706243,History_and_Society.Society,1987.0,241129.67209186679,0.0,3273.0
101,54.0,1987.0,臺灣問題,0.12146936559677125,Q706243,Geography.Regions.Asia.Asia*,1987.0,241129.67209186679,0.0,3273.0
102,54.0,1987.0,臺灣問題,0.014629947185516357,Q706243,Geography.Regions.Europe.Southern_Europe,1987.0,241129.67209186679,0.0,3273.0
103,54.0,1987.0,臺灣問題,0.0,Q706243,Geography.Regions.Asia.East_Asia,1987.0,241129.67209186679,0.0,3273.0
104,54.0,1987.0,臺灣問題,0.0,Q706243,Geography.Regions.Europe.Europe*,1987.0,241129.67209186679,0.0,3273.0
105,54.0,1987.0,臺灣問題,0.0,Q706243,Geography.Regions.Asia.West_Asia,1987.0,241129.67209186679,0.0,3273.0
106,54.0,1987.0,臺灣問題,0.0,Q706243,Geography.Regions.Americas.North_America,1987.0,241129.67209186679,0.0,3273.0
107,54.0,1987.0,臺灣問題,0.0,Q706243,Geography.Regions.Africa.Africa*,1987.0,241129.67209186679,0.0,3273.0
108,54.0,1987.0,臺灣問題,0.0,Q706243,Geography.Regions.Oceania,1987.0,241129.67209186679,0.0,3273.0
109,54.0,1987.0,臺灣問題,0.0,Q706243,Geography.Regions.Africa.Northern_Africa,1987.0,241129.67209186679,0.0,3273.0
110,2.0,2077.0,3月,0.59267657995224,Q110,STEM.STEM*,2077.0,1346.595238202691,5.0,2408.0
111,2.0,2077.0,3月,0.3629792034626007,Q110,History_and_Society.History,2077.0,1346.595238202691,5.0,2408.0
112,2.0,2077.0,3月,0.1824355274438858,Q110,Culture.Philosophy_and_religion,2077.0,1346.595238202691,5.0,2408.0
113,2.0,2077.0,3月,0.1097157895565033,Q110,Culture.Biography.Biography*,2077.0,1346.595238202691,5.0,2408.0
114,2.0,2077.0,3月,0.1067005917429924,Q110,History_and_Society.Society,2077.0,1346.595238202691,5.0,2408.0
115,2.0,2077.0,3月,0.0,Q110,Geography.Regions.Europe.Europe*,2077.0,1346.595238202691,5.0,2408.0
116,2.0,2077.0,3月,0.0,Q110,Geography.Regions.Europe.Western_Europe,2077.0,1346.595238202691,5.0,2408.0
117,1.0,2143.0,安乐死,0.5544804334640503,Q100159,STEM.STEM*,2143.0,0.0,1.0,2710.0
118,1.0,2143.0,安乐死,0.3702353835105896,Q100159,STEM.Medicine_&_Health,2143.0,0.0,1.0,2710.0
119,1.0,2143.0,安乐死,0.3557848632335663,Q100159,History_and_Society.Politics_and_government,2143.0,0.0,1.0,2710.0
120,1.0,2143.0,安乐死,0.3415925204753876,Q100159,Culture.Philosophy_and_religion,2143.0,0.0,1.0,2710.0
121,1.0,2143.0,安乐死,0.3140605390071869,Q100159,History_and_Society.Society,2143.0,0.0,1.0,2710.0
122,1.0,2143.0,安乐死,0.13661839067935946,Q100159,History_and_Society.Business_and_economics,2143.0,0.0,1.0,2710.0
123,4.0,2168.0,庄子,0.989681839942932,Q47739,Culture.Biography.Biography*,2168.0,7111.742374503581,5.0,3325.0
124,4.0,2168.0,庄子,0.9777238368988036,Q47739,Culture.Philosophy_and_religion,2168.0,7111.742374503581,5.0,3325.0
125,4.0,2168.0,庄子,0.41490885615348816,Q47739,Culture.Literature,2168.0,7111.742374503581,5.0,3325.0
126,4.0,2168.0,庄子,0.13297423720359802,Q47739,History_and_Society.History,2168.0,7111.742374503581,5.0,3325.0
127,4.0,2168.0,庄子,0.10375863313674928,Q47739,History_and_Society.Society,2168.0,7111.742374503581,5.0,3325.0
128,4.0,2168.0,庄子,0.0,Q47739,Geography.Regions.Asia.Asia*,2168.0,7111.742374503581,5.0,3325.0
129,4.0,2168.0,庄子,0.0,Q47739,Geography.Regions.Asia.East_Asia,2168.0,7111.742374503581,5.0,3325.0
130,13.0,2222.0,美國獨立宣言,0.6001983880996704,Q127912,History_and_Society.Politics_and_government,2222.0,17012.992917981075,0.0,3417.0
131,13.0,2222.0,美國獨立宣言,0.5621865391731262,Q127912,History_and_Society.Society,2222.0,17012.992917981075,0.0,3417.0
132,13.0,2222.0,美國獨立宣言,0.4163126816749573,Q127912,Geography.Regions.Americas.North_America,2222.0,17012.992917981075,0.0,3417.0
133,13.0,2222.0,美國獨立宣言,0.24509501457214355,Q127912,History_and_Society.History,2222.0,17012.992917981075,0.0,3417.0
