,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
46509336,Boost-glide,13.653847,0,135,255,-18.690693,-2.3538697,46509336,4,13,2.4999999999999996,Q16917817
46568839,Dhaval_Gada,12.435898,192,192,192,13.05255,-11.168528,46568839,3,35,0.0,-1
46577261,List of customs cutters of UK Border Force,22.17949,255,15,65,19.073885,7.54654,46577261,11,0,1.2000000000000002,Q20870390
46589818,Mark Glowinski,20.961538,69,155,0,14.337621,0.0203041,46589818,10,6,96.76781324828967,Q19849834
46590568,Nick Boyle,18.525642,69,155,0,-20.95195,18.874441,46590568,8,6,563.9204031629158,Q19873821
46591147,Darren Waller,10.0,192,192,192,-14.0156975,2.6244035,46591147,1,6,0.0,Q21038865
46591529,Marcus Murphy,11.217949,69,155,0,7.7474327,-10.926432,46591529,2,6,0.0,Q20711105
46625036,BBC Four Goes Slow,10.0,187,77,156,-5.869946,-21.21857,46625036,1,8,0.0,Q19871101
46627463,2015–16 NCAA football bowl games,42.884617,60,119,190,23.281265,-5.0232244,46627463,28,4,72265.24973584562,Q19866066
46642508,Baek Jong-won,11.217949,154,122,0,-9.719553,-14.02974,46642508,2,11,0.0,Q16082942
46679074,1971 Marshall Thundering Herd football team,13.653847,0,127,149,18.716112,15.126726,46679074,4,15,5296.000000000001,Q20312604
46688006,Justin Coleman,12.435898,69,155,0,-13.921176,23.28671,46688006,3,6,27.239031948047263,Q19957070
46698956,D. J. Alexander,10.0,69,155,0,12.6267605,21.590914,46698956,1,6,0.0,Q19938196
46703097,Seventeen (South Korean band),19.74359,154,122,0,-9.625677,2.254815,46703097,9,11,51166.22877496379,Q14524548
46716174,Liam Livingstone,13.653847,234,89,0,4.844685,11.82471,46716174,4,21,0.0,Q19968743
46721715,Barinder Sran,18.525642,234,89,0,-4.2583885,8.966404,46721715,8,21,8331.398315584,Q20890056
46766137,Akeem King,18.525642,69,155,0,8.594776,19.054567,46766137,8,6,0.0,Q20020370
46776317,2016 FA Cup Final,13.653847,254,0,145,15.268897,-22.34334,46776317,4,22,2849.5520094049334,Q20807520
46782036,Aleix García,10.0,254,0,145,-21.990448,10.594251,46782036,1,22,0.0,Q19968626
46784298,2015 Orange Bowl,69.67949,60,119,190,10.777069,5.956781,46784298,50,4,12275.119312148607,Q20648883
46784348,Nine Lives (2016 film),13.653847,192,192,192,-13.977564,-12.558549,46784348,4,3,282171.83217670204,Q20002304
46784407,2015 Cotton Bowl Classic (December),52.628204,60,119,190,24.221277,17.20812,46784407,36,4,6878.875950398378,Q20647087
46811704,Jason Cunningham,10.0,154,122,0,24.762175,24.63749,46811704,1,11,0.0,Q20090528
46816392,Valérie Létourneau,10.0,0,145,175,5.897246,-8.265934,46816392,1,17,0.0,Q20026755
46833197,Resorts World Arena,11.217949,192,192,192,6.9285297,14.584151,46833197,2,27,52870.0,Q22097653
46838105,Josh Beaumont,12.435898,134,102,154,-19.420965,23.033043,46838105,3,2,11390.218757804616,Q20090257
46852028,Dave Johns,10.0,89,127,28,17.690742,-23.517189,46852028,1,9,0.0,Q20684254
46872127,Angelia Ong,31.923077,0,159,54,4.8025346,13.514448,46872127,19,18,280.3056005688177,Q20643186
46875284,2015 NCAA Division I FBS football rankings,34.35898,60,119,190,-3.5753028,6.130576,46875284,21,4,1147.6580726319778,Q20311076
46880993,List of volcanoes in Europe,10.0,0,163,145,-4.754756,-12.135695,46880993,1,37,0.0,Q16616677
46899899,Monika Radulovic,13.653847,0,159,54,-15.8265,23.738792,46899899,4,18,3246.986376764632,Q20657648
46907048,Vykintas Slivka,13.653847,0,163,145,-24.220198,2.37888,46907048,4,22,209.64917700590797,Q20050554
46919937,J.League Best XI,11.217949,192,192,192,-12.643237,19.022135,46919937,2,44,19.904761904761905,Q3156813
46931566,2015–16 Football League Cup,22.17949,254,0,145,-9.8668995,5.3150616,46931566,11,22,54569.1508736715,Q20118529
46954123,Auston Matthews,12.435898,69,155,0,-14.940225,-14.3939,46954123,3,33,199998.09112309,Q20090644
47007476,Miss Universe Trinidad and Tobago,75.76923,0,159,54,-24.791828,24.207233,47007476,55,18,274.3593203245657,Q30588432
47018774,Colin Cloud,12.435898,89,127,28,10.355567,7.6399465,47018774,3,0,101314.59728068668,Q20630845
47023424,Harriet Dart,12.435898,192,192,192,12.288677,9.628907,47023424,3,27,30.538125763125866,Q20026221
47023916,Sarah Edwards (actress),11.217949,176,94,34,-16.190533,-9.174601,47023916,2,38,5295.999999999999,Q20109574
47030870,Kolkata Knight Riders in 2009,12.435898,234,89,0,-19.738127,-1.0955033,47030870,3,21,0.0,Q24906955
47030883,Kolkata Knight Riders in 2014,12.435898,234,89,0,2.2169747,18.180037,47030883,3,21,0.0,Q24906972
47073679,J. K. Scott,31.923077,60,119,190,21.376614,2.7416697,47073679,19,4,8583.440682845307,Q20716713
47078093,Kyle Farmer,14.871795,192,192,192,0.07336066,9.446749,47078093,5,40,5294.0,Q33977406
47083633,Mackenzie Blackwood,10.0,187,77,156,-21.167383,-14.453159,47083633,1,8,0.0,Q20551945
47111512,Tegna Inc.,12.435898,0,146,232,20.214762,10.94839,47111512,3,17,42440.18420221149,Q20648663
47191887,Roosevelt Nix (fullback),10.0,69,155,0,-14.368243,-1.0727944,47191887,1,6,0.0,Q20745111
47197592,Vikramaditya Shukla,10.0,192,192,192,11.338974,24.26511,47197592,1,35,0.0,Q7929593
47225988,Jung Seung-hyun,16.089745,192,192,192,-8.222877,-21.288538,47225988,6,44,26460.25,Q20444686
47262599,Outer Delhi (Lok Sabha constituency),10.0,192,192,192,3.0675695,-15.946679,47262599,1,26,0.0,Q7111971
47283611,Aniporn Chalermburanawong,14.871795,0,159,54,10.57883,-20.297213,47283611,5,18,14.114391766350717,Q20740699
47304358,31st October (film),10.0,192,192,192,-14.714539,-2.8700416,47304358,1,26,0.0,Q20735522
47401159,Lixil Group,10.0,192,192,192,-3.4873998,14.727156,47401159,1,44,0.0,Q11229276
47434468,UFC 193,24.615385,0,145,175,-19.668697,-21.682932,47434468,13,17,1813.3968034757727,Q20831438
47556825,Miss International 2016,47.756413,0,159,54,11.507562,-22.627314,47556825,32,18,4579.080196070584,Q22687948
47559329,David Rittich,10.0,187,77,156,14.741899,22.11404,47559329,1,8,0.0,Q21064302
47571375,Ruth Strauss,10.0,255,15,65,-0.42793572,-24.435516,47571375,1,0,0.0,Q22098154
47613098,Jinh Yu Frey,11.217949,0,145,175,5.2011175,-24.23015,47613098,2,17,5296.0,Q21064601
47624844,Joe Dodoo,12.435898,0,163,145,-17.189753,17.450794,47624844,3,22,13347.755898881276,Q21005651
47635043,Florian Kamberi,13.653847,0,163,145,21.698624,9.117006,47635043,4,22,3703.841816320909,Q21066114
47640846,Pen India Limited,13.653847,192,192,192,-5.56203,-3.3480947,47640846,4,35,2.0,Q23777917
47665400,Denis Zakaria,11.217949,0,163,145,21.357592,-0.113664016,47665400,2,22,15882.0,Q21066260
47667777,Starrcade (1995),10.0,0,174,240,15.049471,15.629722,47667777,1,17,0.0,Q11704059
47682992,DeAndre Carter,10.0,69,155,0,-14.013234,23.395065,47682992,1,6,0.0,Q21005284
47688955,Heinrich Klaasen,18.525642,234,89,0,19.334381,23.19055,47688955,8,21,14162.794617447584,Q20981646
47689114,Zubayr Hamza,10.0,234,89,0,-7.9078584,9.157455,47689114,1,21,0.0,Q20981586
47695216,Randy Feltface,11.217949,192,192,192,9.813592,15.846301,47695216,2,23,5296.0,Q24185497
47699661,2016 PBA draft,16.089745,192,192,192,-2.0472126,19.035587,47699661,6,41,0.0,Q23022620
47726306,Binibining Pilipinas 2016,20.961538,0,159,54,-2.1935103,2.104667,47726306,10,18,538.2051881618733,Q20979206
47767226,Art Marcum and Matt Holloway,11.217949,192,192,192,-17.090912,16.504534,47767226,2,3,0.0,Q21004870
47813216,Face the Raven,25.833334,192,192,192,-2.8626606,-5.2015376,47813216,14,29,17051.548139478888,Q21139720
47830654,Kenneth Dixon (American football),28.269232,69,155,0,-5.5290046,-9.449017,47830654,16,6,7505.358610818346,Q21005644
47833276,Tanner Mangum,11.217949,0,127,149,-13.9063425,-22.119791,47833276,2,15,0.0,Q21044384
47842741,Emma Didlake,11.217949,199,73,95,16.297598,-21.102482,47842741,2,0,0.0,Q20981530
47862830,DJ Dahi,10.0,176,94,34,-22.695932,10.716153,47862830,1,38,0.0,Q16728587
47865165,Andrea Lee (fighter),14.871795,0,145,175,18.640337,1.8281626,47865165,5,17,10860.808186879329,Q21067265
47949374,San Lorenzo de Almagro (basketball),10.0,192,192,192,9.671012,2.207719,47949374,1,18,0.0,Q20022010
48007276,Arizona Bowl,28.269232,60,119,190,-18.621971,-18.666924,48007276,16,4,5455.262034990705,Q22095239
48039114,Phạm Hương,14.871795,0,159,54,24.920738,10.061977,48039114,5,18,27.58283951342774,Q21073486
48060815,Seema Jaswal,11.217949,0,163,145,-22.090652,-7.955694,48060815,2,0,704760.8832645188,Q21932500
48086452,Nathu Singh (cricketer),10.0,234,89,0,-13.637215,7.0206947,48086452,1,21,0.0,Q21622898
48098681,Djordje Djokovic,10.0,192,192,192,7.15548,15.128832,48098681,1,27,0.0,Q17291218
48099231,Bandaru Ayyappa,10.0,234,89,0,-10.699087,-14.307779,48099231,1,21,0.0,Q21620802
48148568,Complaint tablet to Ea-nasir,10.0,134,102,154,21.128891,-14.384612,48148568,1,2,0.0,Q21585351
48182073,Wayne Gallman,36.794872,60,119,190,-4.530099,-8.2290745,48182073,23,4,3445.4670464690166,Q21621330
48214099,Teruto Ishihara,13.653847,0,145,175,-4.849136,-6.2502913,48214099,4,17,4.487286806761019,Q21621538
48214209,Shaq Lawson,27.051283,60,119,190,20.155975,5.7656507,48214209,15,4,8754.391504008796,Q21621790
48217220,List of performances by Cary Grant,14.871795,176,94,34,-8.880402,-11.293003,48217220,5,38,78684.27718840941,Q25045313
48221748,Jarran Reed,23.397436,60,119,190,-11.913987,-8.257676,48221748,12,4,2018.563945632956,Q21622507
48223695,Rotating detonation engine,10.0,0,135,255,20.718275,0.9696029,48223695,1,13,0.0,Q25313040
48243443,Jake Lehmann,13.653847,234,89,0,11.362407,23.393864,48243443,4,21,42409.27260068558,Q21621809
48272766,Hillarie Parungao,13.653847,0,159,54,20.077568,-15.280164,48272766,4,18,19319.444040273567,Q21622323
48311205,Jhye Richardson,12.435898,234,89,0,13.316734,-1.3476112,48311205,3,21,0.0,Q21622525
48376197,Tajae Sharpe,13.653847,69,155,0,-4.641654,23.44799,48376197,4,6,0.0,Q21622852
48388249,Glen Kamara,13.653847,0,163,145,1.5471052,15.136316,48388249,4,22,0.0,Q11860513
48393216,Travis Dean,16.089745,234,89,0,5.67219,21.380806,48393216,6,21,1762.6968735268308,Q21621148
48402745,Lockie Ferguson,13.653847,234,89,0,-4.473231,9.966978,48402745,4,21,577.1551515943171,Q21621282
