,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Count,Total,Degree Ratio,Subtopic,Main topic,Weight,Total Weight,Ratio Weight
4408,1.0,46852028.0,Dave Johns,0.5156299471855164,Q20684254,Culture.Media.Media*,28.0,0.0,127.0,9.0,89.0,10.0,17.690742,-23.517189000000002,78.0,589.0,0.13242784380305606,Media*,Culture,40.21913588047028,35213.5512163043,0.001142149385428878
4409,19.0,46872127.0,Angelia Ong,0.8221991658210754,Q20643186,Culture.Visual_arts.Visual_arts*,54.0,280.3056005688177,159.0,18.0,0.0,31.92307700000001,4.8025345999999995,13.514448000000002,173.0,958.0,0.18058455114822547,Visual_arts*,Culture,2702.568658053875,1415492.8940436097,0.0019092774463413255
4410,21.0,46875284.0,2015 NCAA Division I FBS football rankings,0.8479777574539185,Q20311076,Culture.Sports,190.0,1147.6580726319778,119.0,4.0,60.0,34.358979999999995,-3.5753028,6.1305760000000005,456.0,1541.0,0.29591174561972744,Sports,Culture,8120.235005378723,2738319.0239245,0.0029654086811773217
4411,1.0,46880993.0,List of volcanoes in Europe,0.10088862478733064,Q16616677,Culture.Sports,145.0,0.0,163.0,37.0,0.0,10.0,-4.7547559999999995,-12.135695,33.0,232.0,0.14224137931034486,Sports,Culture,3.329324617981911,3607.921084344387,0.0009227819955454759
4412,4.0,46899899.0,Monika Radulovic,0.6001983880996704,Q20657648,Culture.Visual_arts.Visual_arts*,54.0,3246.986376764632,159.0,18.0,0.0,13.653847,-15.8265,23.738792,173.0,958.0,0.18058455114822547,Visual_arts*,Culture,415.33728456497187,1415492.8940436097,0.00029342237344511587
4413,4.0,46907048.0,Vykintas Slivka,0.9966334104537964,Q20050554,Culture.Sports,145.0,209.649177005908,163.0,22.0,0.0,13.653847,-24.220198,2.37888,353.0,1382.0,0.25542691751085383,Sports,Culture,1407.2463755607605,619966.7926466167,0.002269873793648325
4414,2.0,46919937.0,J.League Best XI,0.9715740084648132,Q3156813,Culture.Sports,192.0,19.904761904761905,192.0,44.0,192.0,11.217949,-12.643237,19.022135000000002,44.0,158.0,0.27848101265822783,Sports,Culture,85.49851274490356,7450.650723539293,0.01147530811970328
4415,11.0,46931566.0,2015–16 Football League Cup,0.9942797422409058,Q20118529,Culture.Sports,145.0,54569.150873671504,0.0,22.0,254.0,22.179489999999998,-9.866899499999999,5.315061599999999,353.0,1382.0,0.25542691751085383,Sports,Culture,3860.7882391214366,619966.7926466167,0.006227411346726921
4416,3.0,46954123.0,Auston Matthews,0.8962613940238953,Q20090644,Culture.Sports,0.0,199998.09112309,155.0,33.0,69.0,12.435898,-14.940225,-14.3939,43.0,156.0,0.2756410256410257,Sports,Culture,115.61771982908249,4335.763519890606,0.02666605761561451
4417,55.0,47007476.0,Miss Universe Trinidad and Tobago,0.9935217499732972,Q30588432,Culture.Visual_arts.Fashion,54.0,274.3593203245657,159.0,18.0,0.0,75.76923000000002,-24.791828,24.207233,170.0,958.0,0.17745302713987476,Fashion,Culture,9289.42836225033,1415492.8940436097,0.006562681028877093
4418,3.0,47018774.0,Colin Cloud,0.10375863313674928,Q20630845,Culture.Visual_arts.Visual_arts*,28.0,101314.59728068668,127.0,0.0,89.0,12.435898,10.355567,7.6399465,26.0,2551.0,0.010192081536652292,Visual_arts*,Culture,8.093173384666445,347450.98869378865,2.3292992819194488e-05
4419,3.0,47023424.0,Harriet Dart,0.9796776771545408,Q20026221,Culture.Sports,192.0,30.538125763125862,192.0,27.0,192.0,12.435898,12.288677,9.628907,85.0,399.0,0.21303258145363407,Sports,Culture,249.81780767440793,33783.33191408217,0.007394706013893034
4420,2.0,47023916.0,Sarah Edwards (actress),0.998142421245575,Q20109574,Culture.Biography.Biography*,34.0,5295.999999999999,94.0,38.0,176.0,11.217949,-16.190533,-9.174601,102.0,689.0,0.14804063860667635,Biography*,Culture,0.0,46722.75220773369,0.0
4421,3.0,47030870.0,Kolkata Knight Riders in 2009,0.9648651480674744,Q24906955,Culture.Sports,0.0,0.0,89.0,21.0,234.0,12.435898,-19.738127,-1.0955033,147.0,566.0,0.2597173144876325,Sports,Culture,425.5055302977562,101160.12884266676,0.00420625729885675
4422,3.0,47030883.0,Kolkata Knight Riders in 2014,0.9648651480674744,Q24906972,Culture.Sports,0.0,0.0,89.0,21.0,234.0,12.435898,2.2169747,18.180037,147.0,566.0,0.2597173144876325,Sports,Culture,425.5055302977562,101160.12884266676,0.00420625729885675
4423,19.0,47073679.0,J. K. Scott,0.984585464000702,Q20716713,Culture.Sports,190.0,8583.440682845307,119.0,4.0,60.0,31.92307700000001,21.376614,2.7416697,456.0,1541.0,0.29591174561972744,Sports,Culture,8530.448460102083,2738319.0239245,0.003115213525367993
