,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
6761360,Rachid Taoussi,10.0,0,126,172,-15.178864,22.796946,6761360,1,11,0.0,Q551858
6782478,Benjamin Latt,10.0,255,42,47,-23.86133,16.45998,6782478,1,1,0.0,Q2896132
6788480,Scary Movie 5,10.0,185,97,239,6.3233576,6.674543,6788480,1,10,0.0,Q867294
6824807,Groupe écologiste (Assemblée nationale),18.709677,193,77,88,-14.748002,-5.7933946,6824807,4,9,0.0,Q3117954
6825603,Luke Shaw,12.903226,0,148,245,15.736156,2.3014162,6825603,2,15,612.1491758241892,Q93563
6839094,Roberto Bautista-Agut,30.32258,41,139,0,-14.781677,-23.568956,6839094,8,8,0.3333333333333333,Q966542
6863588,Téji Savanier,21.612904,54,124,233,18.70693,-12.000918,6863588,5,7,1117.0,Q3274491
6877002,Ashleigh Barty,15.806452,0,164,49,2.1897113,-21.928057,6877002,3,14,533.403290420352,Q84056
6877358,Titanosauria,10.0,0,134,74,-3.0752382,5.8342643,6877358,1,19,0.0,Q133051
6907258,Couvent de la Madeleine,12.903226,152,129,0,7.256128,3.6435697,6907258,2,6,3345.0,Q1346041
6918765,Larbi Bouhali,41.935482,0,126,172,-0.7207321,-20.477146,6918765,12,11,0.0,Q4503120
6930609,Rachid Ghezzal,12.903226,54,124,233,-3.0151346,-10.188361,6930609,2,7,1866.0,Q3186498
6938748,Liste des chansons interprétées par Eddy Mitchell,18.709677,175,95,13,0.43853983,-21.350487,6938748,4,22,4461.0,Q16034947
6981310,Antonio Rüdiger,27.419353,235,94,0,-22.397282,-4.9129806,6981310,7,3,13685.18778648243,Q96755
6984053,Zoom (album de Rachid Taha),15.806452,0,157,116,-22.237043,-23.652025,6984053,3,21,497.9370129870103,Q15087546
7032398,Loïck Landre,24.516129,54,124,233,10.703105,-9.08088,7032398,6,7,57456.5,Q6694713
7041504,Stoffel Vandoorne,12.903226,192,192,192,-17.357117,-6.269814,7041504,2,17,0.0,Q1344577
7068936,Cessna Skymaster,15.806452,60,163,0,-5.842777,4.0903487,7068936,3,4,558.0,Q1057388
7103060,Mário Rui,18.709677,54,124,233,19.2019,6.2008023,7103060,4,7,22.97331780538302,Q3869208
7158942,Immigration en Suède,10.0,60,163,0,24.500362,16.8933,7158942,1,13,0.0,Q4200300
7163598,Lucas Pouille,41.935482,41,139,0,9.567405,17.72634,7163598,12,8,16682.895341474014,Q13403768
7182515,Élections européennes de 2014 en France,15.806452,0,134,74,-11.480712,-3.3731177,7182515,3,9,40132.482560132376,Q15057715
7185009,Denis Cheryshev,10.0,235,94,0,-24.639166,24.317356,7185009,1,3,0.0,Q246417
7188258,Toto Wolff,18.709677,192,192,192,-16.917114,18.120178,7188258,4,17,0.0,Q90005
7234535,Watching Movies with the Sound Off,15.806452,185,97,239,-2.7876222,9.858756,7234535,3,10,0.0,Q13564057
7248618,Famille Goullet de Rugy,10.0,193,77,88,6.5946975,10.634483,7248618,1,9,0.0,Q16034206
7255409,Madison Keys,15.806452,0,164,49,-3.2357934,-8.719141,7255409,3,14,6783.462139100203,Q34403
7273137,Sous les jupes des filles (film),18.709677,0,134,74,-22.49249,13.364979,7273137,4,9,17353.776394567943,Q16677629
7296867,Triple Alliance (film),18.709677,0,168,183,24.07881,22.749487,7296867,4,5,17368.00918677573,Q14272676
7364356,Cristiano Biraghi,10.0,0,148,245,-11.32303,16.945618,7364356,1,15,0.0,Q824938
7373359,William Carvalho,21.612904,54,124,233,-1.212681,-4.563682,7373359,5,7,1215.615158380002,Q304416
7385340,Jeux équestres mondiaux de 2018,12.903226,0,134,74,-19.575644,-16.817995,7385340,2,2,5266.269444444447,Q16645843
7388426,Borna Ćorić,18.709677,0,164,49,-9.952242,-22.332624,7388426,4,14,16902.8035155746,Q14905846
7428836,João Sousa,15.806452,0,164,49,-0.6107203,18.709982,7428836,3,14,2.333333333333333,Q1338865
7442877,Hippocrate (film),12.903226,0,168,183,-22.471992,21.003792,7442877,2,5,0.0,Q16641860
7489615,Bruno Tuchszer,10.0,192,192,192,21.212486,17.934977,7489615,1,12,0.0,Q15974031
7520147,Typhon Haiyan,15.806452,192,192,192,15.375463,-20.225416,7520147,3,13,0.0,Q15136651
7523711,Sébastien Haller,10.0,235,94,0,14.50321,-6.8426104,7523711,1,3,0.0,Q7665927
7524351,T-14 Armata,12.903226,60,163,0,-3.8836982,-5.7997103,7524351,2,2,0.0,Q19003618
7592864,Rear admiral (États-Unis),10.0,175,95,13,14.113804,-11.49885,7592864,1,13,0.0,Q1278830
7634658,Lovre Kalinić,10.0,54,124,233,-2.565488,-4.227422,7634658,1,7,0.0,Q10512869
7707901,Babysitting (film),15.806452,235,44,170,15.310937,-5.284716,7707901,3,20,0.0,Q16530861
7747550,Harry Maguire,12.903226,0,148,245,12.794267,20.484251,7747550,2,15,38.91617259552042,Q165772
7774220,Geoffrey Spicer-Simson,15.806452,114,121,10,20.37342,-16.834011,7774220,3,1,1117.0,Q666861
7800577,Shkodran Mustafi,10.0,54,124,233,-8.848863,16.422302,7800577,1,7,0.0,Q694014
7808669,Thomas Ramos,10.0,0,160,220,-10.028127,13.20165,7808669,1,23,0.0,Q16679970
7816867,Élections législatives suédoises de 2014,36.129032,175,95,13,4.0318966,-15.558729,7816867,10,13,1256.5999999999842,Q7654987
7856814,John McLoughlin (policier),15.806452,153,96,160,-15.63737,16.003021,7856814,3,16,3.9166666666666665,Q195781
7888944,République populaire de Donetsk,12.903226,192,192,192,-8.326475,24.513645,7888944,2,24,0.0,Q16150196
7903534,Palmarès et statistiques de Novak Djokovic,18.709677,0,164,49,10.962183,6.7869134,7903534,4,14,1253.8912676902764,Q6470562
7918881,Gaspard Gantzer,12.903226,193,77,88,12.904514,5.308563,7918881,2,9,8978.221870243784,Q17628923
7955885,Abdel Kader,18.709677,0,157,116,1.1929098,9.118449,7955885,4,21,0.0,Q4664753
7973577,Youri Tielemans,15.806452,54,124,233,-9.061087,-13.964589,7973577,3,7,1251.6388888888887,Q14327453
7974541,Un prof pas comme les autres,15.806452,0,168,183,8.640746,6.824022,7974541,3,5,1.0,Q15268063
7979731,Quincy Promes,30.32258,0,148,245,3.4496694,4.493087,7979731,8,15,16.728413015657264,Q2092290
