Id,Label,modularity_class,Cluster,Degree,clustering
2208458,Edaphology,17,3,4,0.333333
58675524,German_torpedo_boat_T24,24,3,4,0.666667
4700242,Mars_sample-return_mission,17,3,33,0.49053
34224956,Pippa_Bennett-Warner,2,4,2,0
47986340,History_of_York_City_F.C._(1980?present),11,1,14,0.648352
26051384,Luciana_Berger,1,2,1,0
15723206,Andrew_Innes,1,1,2,1
1202658,Tanzania_national_football_team,11,1,16,0.566667
25833248,Aziz_Behich,11,1,13,0.75641
25420188,New_Delhi_(1987_film),6,13,3,1
20908670,Sydney_Leroux,21,2,2,0
59196572,Zech_Medley,15,3,4,0.833333
8752458,Lyndon_Brook,11,23,2,0
22609914,William_Lai,18,20,2,1
42406844,Mandyada_Gandu,6,13,3,0.666667
407922,Ed_Pastor,3,2,1,0
156326,Isaac_Deutscher,30,6,3,1
2870594,Ieng_Thirith,11,6,11,0.872727
50367548,Justin_Simmons_(American_football),19,0,2,1
37398884,Kathy_Etchingham,23,7,11,1
4325078,Rachida_Brakni,15,3,1,0
948608,The_Man_in_the_Moon,6,5,2,0
51106192,Skin_gambling,29,6,3,0
41357016,Heaven_(Beyonc?_song),2,4,1,0
394078,Blanche_Bruce,3,2,5,0.5
39608,Walter_Winterbottom,11,1,3,0.333333
3118764,Dick_Bennett,19,0,1,0
101444,Mars_6,17,3,26,0.763077
205060,Sponge_(band),23,7,1,0
1306468,Clay_Matthews_Jr.,19,0,2,0
190816,S?dermanland,27,14,3,0.333333
36974676,USS_Thomas_Hudner,24,3,2,0
34117250,List_of_Washington_State_Cougars_bowl_games,19,0,4,0
3842646,Damon_Huard,19,0,3,0.666667
56895302,Olga_Polizzi,1,2,3,1
389780,Dana_Scully,4,4,11,0.872727
453580,The_Dallas_Morning_News,3,2,22,0.051948
56396144,Aaron_Wainwright,12,1,1,0
55941236,Greg_Andres,3,2,2,0
6174864,Doctor_X_(film),6,5,2,0
692974,Wigstan,27,14,15,0.704762
54266736,Andrew_Weissmann,3,2,1,0
49581142,New_Delhi_(1988_Kannada_film),6,13,4,0.666667
2808874,Mike_Ruddock,12,1,1,0
8584368,Sentinelese_language,5,9,9,0.555556
23136184,Grace_Hightower,16,8,2,0
39234928,Australia_national_soccer_team_records_and_statistics,11,1,3,1
4897008,Mauthausen-Gusen_camp_trials,15,3,2,1
481076,Calcutta_Cup,12,1,2,0
735976,Comodoro_Rivadavia,26,8,1,0
1201706,King_Rat_(film),2,4,2,0
259762,"Rhinebeck_(town),_New_York",10,10,11,0.509091
421116,Norbert_Elias,30,6,3,0.333333
1291184,Yemen_national_football_team,11,1,5,0.3
55297676,Joe_Willock,15,3,7,0.47619
4636806,Pintupi,5,9,5,0.6
11443906,Sajjad_Gani_Lone,10,10,2,0
9738528,Tim_Miles,9,12,1,0
1822878,Stealing_Beauty,23,7,18,0.745098
55949310,Georgia_in_the_Junior_Eurovision_Song_Contest_2018,13,3,19,0.894737
3112996,The_Witches_(1990_film),23,7,13,1
46700794,Dem_Jointz,11,17,1,0
13317314,Stan_Edwards,19,0,1,0
1972702,Colonel_Reb,19,0,4,0.666667
3975358,Milt_Stegall,19,0,21,0.438095
40865334,Jonny_Gray,12,1,8,0.714286
889762,List_of_nicknames_used_by_George_W._Bush,19,2,3,0
51521072,Ezequiel_Barco,0,1,7,1
27266258,Lisa_Nandy,1,2,2,1
3171978,Ian_Eagle,19,0,3,0.333333
1402014,Teasmade,14,9,1,0
4110714,Richard_Philippe,15,3,2,0
235888,Jon_Stewart,28,2,5,0.2
11653234,Bal?zs_Dzsudzs?k,11,1,2,1
619860,Sentinel,5,9,4,0.666667
45387574,Nobuharu_Matsushita,15,3,9,0.888889
44274444,Rey_Manaj,11,1,3,0
18875594,Randy_Edwini-Bonsu,0,1,3,0.333333
14836648,Patricia_Ellis,6,5,2,0
48304466,Raj_Grewal,21,2,1,0
37177016,Eleanor_Worthington_Cox,2,4,2,1
22981506,Arsenal_F.C._Under-23s_and_Academy,15,3,6,0.4
2784772,John_McKay_(American_football),19,0,9,0.194444
1145024,Sierra_Leone_national_football_team,11,1,13,0.75641
868786,Tommy_Ivo,6,5,1,0
3126850,Grey_Cup_Most_Valuable_Player,19,0,46,0.35942
51375500,Rhode_Island_Tercentenary_half_dollar,16,8,6,0.2
8453232,Steven_Defour,0,1,1,0
46644838,Richard_Burgon,1,2,1,0
46643790,Peter_Dowd,1,2,1,0
103078,Theatre_director,6,5,4,0
100240,Scheduled_monument,14,9,4,0.5
51322222,Anthoine_Hubert,15,3,9,0.944444
4399248,Nick_Xenophon,29,6,3,0.333333
2804680,Heffer_Wolfe,28,2,1,0
42402792,Patric_Young,19,12,1,0
330784,Regina_Rams,19,0,1,0
1478080,Island-class_patrol_boat,15,3,2,1
23150376,Operation_Long_Jump,15,3,1,0
54888088,Polina_Bogusevich,13,3,12,0.863636
264230,Jonah_Lomu,12,1,9,0.138889
287628,Chhatrapati_Shivaji_Terminus,10,10,10,0.533333
732520,Saint_Louis_School,19,0,2,0
2198626,9K111_Fagot,15,3,2,1
35651390,Jonas_Gray,12,1,1,0
20953740,Captain_Munnerlyn,19,0,4,0.166667
45200900,Allegations_of_United_States_support_for_the_Khmer_Rouge,11,6,7,0.666667
473146,Archibald_MacLeish,3,2,2,0
6429626,Arthur_Rankin_Jr.,2,4,4,0.333333
2000858,List_of_longest-running_United_States_television_series,28,2,5,0.2
1317000,Arecibo_message,7,3,16,0.608333
11268740,Sumalatha,6,13,10,0.133333
47567096,Leonardo_Koutris,11,1,2,0
26774742,Cooler_than_Me,20,4,3,0.666667
4864572,Loro_Bori?i_Stadium,11,1,1,0
50374866,Tyler_Higbee,19,0,7,0.714286
4687528,Forever_My_Lady_(song),11,17,2,1
55665586,Rick_Gates_(political_consultant),3,2,10,0.511111
50721988,Justin_Dunn,21,2,5,0.7
58435484,Robert_Tonyan,19,0,6,1
114198,"Sac_City,_Iowa",17,15,1,0
20246758,K-152_Nerpa_accident,26,8,2,1
53768358,List_of_shows_produced_by_ITV_Studios,25,19,1,0
27223178,Murder_of_Yeardley_Love,19,0,1,0
39306456,Andrija_?ivkovi?,11,1,3,0.666667
2608958,Nothing_to_Lose_(1997_film),19,0,1,0
43402474,Timeline_of_the_war_in_Donbass,15,3,13,0.807692
54434,The_Wizard_of_Oz,4,4,2,1
30258014,Scar_(The_Lion_King),2,4,21,0.471429
51040314,Alan_Forrest,1,1,1,0
1432422,Khmer_Rouge_Killing_Fields,11,6,18,0.686275
33530178,List_of_highest_scoring_NFL_games,19,0,7,0.142857
8006688,Jos?_Luis_Mendilibar,11,1,5,0.6
26939584,Cristian_Gonz?les,15,3,1,0
1138676,Huaorani_people,5,9,4,0.666667
53416320,Adam_Shaheen_(American_football),19,0,6,0.466667
4698686,Carmen_Ohio,19,0,10,0.866667
2336032,Willi_Smith,16,8,1,0
14339420,Heidi_(1968_film),19,0,4,0.333333
50378204,Anthony_Brown_(cornerback),19,0,7,0.952381
53243150,2017_Florida_State_Seminoles_football_team,19,0,10,0.333333
29642264,Bigger_Trees_Near_Warter,11,1,9,0.777778
47995848,Psyche_(spacecraft),17,3,18,0.830065
54250342,Trevor_N._McFadden,3,2,1,0
42682252,Luke_McGrath,12,1,10,0.888889
11588544,Electoral_district_of_Mulgrave_(Victoria),29,6,12,0.878788
31059802,Rui_Vit?ria,15,3,3,0.333333
94826,"Harrison_County,_Mississippi",3,2,16,0.825
37916074,"Neto_(footballer,_born_1985)",20,4,4,1
27563796,Nicolai_J?rgensen,11,1,4,0.666667
39827590,Oksana_Shachko,15,3,1,0
34739850,Tim_Means,20,4,1,0
38828,Michael_Bloomberg,17,15,8,0.035714
5707066,Mary_Carlisle,6,5,4,0
16988834,Marc_Lamont_Hill,3,2,9,0.222222
43452224,Carmichael_coal_mine,3,6,3,0
1962234,Ole_Miss_Rebels,19,0,4,0.166667
51759120,Ramiro_Quintana,17,15,1,0
1268406,Gibson_Desert,5,9,3,1
1572178,Dave_Schultz_(ice_hockey),20,4,1,0
57967844,2018_Peach_Bowl_(December),19,0,13,0.371795
42444868,List_of_instant_noodle_brands,15,3,1,0
83212,Aude,15,3,2,0
7824488,Paul_Bastock,11,1,2,1
5285260,Diego_Benaglio,11,1,7,0.571429
1337152,Zoo_hypothesis,7,3,10,0.644444
56483248,Rajasimha_(film),6,13,5,0.6
56888702,Veedu_Manaivi_Makkal,6,13,1,0
17679324,J?r?my_Chardy,20,4,6,0.6
187230,Kerch_Strait,15,3,12,0.560606
43477268,Przemek_Karnowski,19,12,3,0
2916638,The_Victors,19,0,10,0.577778
47382804,Australia_in_the_Junior_Eurovision_Song_Contest,13,3,18,0.895425
36040410,Woody_Paige,3,2,1,0
12087646,The_Good_Old_Song,19,0,2,1
2677734,Asian_Footballer_of_the_Year,15,3,2,0
1344584,Howie_Meeker,19,0,4,0.166667
27854740,1991_USC_Trojans_football_team,19,0,4,1
35470774,GSAT-11,17,3,1,0
52824886,Ben_Boulware,19,0,2,0
42720288,Andre_Hal,19,0,2,1
