,Label,Id,Degree,modularity_class,betweenesscentrality
95760,罗布泊,95760,2,18,830.2038298697448
95993,李云迪,95993,2,3,247.73955868703518
96072,導盲犬,96072,1,3,0.0
96251,骨骼,96251,6,9,5269.710015098835
96262,消化系统,96262,9,9,42004.636122762975
96637,日本社会党,96637,2,14,628.8852860387138
96799,高山南,96799,5,2,20426.228793464445
97151,奈良美智,97151,3,20,17883.95804776189
97697,雷歐力·帕拉丁奈特,97697,1,2,0.0
98038,A-10雷霆二式攻擊機,98038,3,4,349.1914527571604
98047,政務主任,98047,12,13,1396.2599663806166
98057,春日局,98057,1,2,0.0
98361,宋夏战争,98361,3,5,15644.0
98649,台灣獼猴,98649,2,9,477.0834540133736
98652,山羌,98652,1,9,0.0
98665,北洋水師,98665,9,14,12163.94147107177
98733,布达拉宫,98733,5,3,9136.349046667694
99104,Su-25攻擊機,99104,4,4,2416.9371201547483
99124,武士_(日本),99124,7,14,47361.17058685539
99155,波音707,99155,4,4,8378.379587658645
99457,2005年中國國民黨和平之旅,99457,8,6,2149.8430321190544
99597,国有企业,99597,9,6,20568.75025458389
99621,吳清源,99621,4,6,15645.0
99641,小泉孝太郎,99641,1,14,0.0
99705,波音767,99705,2,1,1267.8962935825616
100699,加利福尼亚大学洛杉矶分校,100699,10,20,90542.45351065692
100748,俄羅斯輪盤,100748,2,3,1181.7325525889478
100764,潛艇,100764,44,12,188064.5133767255
100857,氢氟酸,100857,2,5,517.5696749957496
100924,硝酸钾,100924,1,2,0.0
101243,義守大學,101243,11,20,19058.252205717046
101288,明十三陵,101288,3,18,3277.727049400795
101362,恒生銀行,101362,9,13,20045.646957484434
101528,年代集團,101528,21,7,37298.21454720944
102016,世界博覽會,102016,3,16,8911.140217409196
102520,雙體船,102520,1,12,0.0
103328,长平之战,103328,3,18,34.05914690908977
103430,御用大律師,103430,4,13,3952.8235989606005
103454,密克罗尼西亚联邦,103454,6,5,4137.450828721254
103930,新世界發展,103930,7,3,27827.202194964455
103939,會德豐,103939,4,3,3166.4445367576805
103950,壹傳媒,103950,18,13,120592.17569865094
103980,中国石化,103980,9,1,22159.11618089403
104002,裕元集團,104002,3,20,1481.903175301147
104019,佐丹奴,104019,4,13,9796.42539831425
104502,香港越南船民問題,104502,7,13,4842.984834335015
104523,血液,104523,7,9,25130.061098366477
104873,財經事務及庫務局,104873,20,13,21243.64080351704
104900,民政事務局,104900,25,13,8048.634624364024
104923,第二次世界大战对日战争胜利纪念日,104923,10,14,30705.188408879483
105079,宿霧市,105079,3,16,7827.0
105130,三神器,105130,1,19,0.0
105844,山竹,105844,1,1,0.0
105863,底特律活塞,105863,8,20,33.32738095238095
106565,昭和之日,106565,1,6,0.0
106763,絕世天劫,106763,7,4,4373.771294670074
106894,切尔诺贝利核电站,106894,1,4,0.0
106921,竹北市,106921,6,10,10177.683406853861
107026,查理一世_(英格蘭),107026,1,8,0.0
107054,長洲搶包山_(比賽),107054,2,3,0.0
107130,觀塘瑪利諾書院,107130,1,3,0.0
107497,譚玉瑛,107497,4,3,4071.5952591610544
107757,沙恩霍斯特级战列舰,107757,9,12,1430.4586461929805
107987,野战排_(电影),107987,12,4,23548.890351059596
108555,星際大戰四部曲：曙光乍現,108555,10,4,11572.14289211884
108559,警察故事,108559,2,3,2957.504188827618
108910,地雷,108910,3,14,229.92140713101125
109018,遜尼派,109018,3,14,4722.6752385670325
109025,曾鈺成,109025,35,13,44869.860713813105
109178,陳金鋒,109178,12,17,73583.92238770227
109334,香港賽馬會,109334,16,13,60924.68106710729
109414,周世宗,109414,2,18,0.0
109476,五色旗,109476,1,20,0.0
110017,瓦爾哈拉,110017,3,23,0.0
110081,比例代表制,110081,3,5,6890.511678193619
110134,新闻自由,110134,7,10,13658.385698404518
110141,MIM-104爱国者导弹,110141,2,12,2596.5697419609937
110651,精武家庭,110651,3,3,6888.869142635451
110668,譚耀宗,110668,12,13,3226.4329141528588
110729,中華航空611號班機空難,110729,5,1,13031.81474322268
110958,鍾景輝,110958,4,7,7480.469794870803
110989,武士道,110989,5,14,9252.002076704828
111026,翁倩玉,111026,4,7,2326.441805835339
111232,旅行者1号,111232,2,12,0.0
111309,姜大衞,111309,9,3,26388.899539526687
111349,梅雨,111349,4,1,7383.455726845726
111444,周小川,111444,8,6,3651.277327964337
111566,胰脏,111566,3,9,391.8030617684903
111696,所多瑪與蛾摩拉,111696,1,12,0.0
112108,黃道十二宮,112108,1,16,0.0
112158,李福兆,112158,3,13,3914.5
112213,西貢小姐,112213,5,8,11566.428064180815
113025,八田與一,113025,3,12,10013.383572777622
113027,里斯本,113027,2,5,3066.0476050740713
113588,彼得_(使徒),113588,3,5,2530.443400699723
113739,邱淑媞,113739,2,10,0.0
115881,遺傳性疾病,115881,3,9,5748.289976085178
116128,鄧蓮如,116128,1,3,0.0
116252,小腦萎縮症,116252,1,9,0.0
116522,片山哲,116522,4,3,11557.31697736416
116894,三面红旗,116894,4,6,867.1090659173942
116958,雨人,116958,5,3,14653.716598752924
117232,波罗的海国家,117232,1,5,0.0
117561,布拉格之春,117561,8,6,384.94076894681115
117588,金圓券,117588,4,6,7221.654375749255
