,Degree,Id,Label,Probability,Qid,Topic,betweenesscentrality,modularity_class,Count,Total,Degree Ratio,Subtopic,Main topic,Weight,Total Weight,Ratio Weight
4365,3.0,55764129.0,2017 Lebanon–Saudi Arabia dispute,0.33459946513175964,Q42904706,History_and_Society.Politics_and_government,4646.0,11.0,91.0,868.0,0.10483870967741936,Politics_and_government,History_and_Society,91.34565398097038,25665.63115843385,0.003559065172295744
4366,32.0,55769751.0,Equestrian at the 2018 Summer Youth Olympics,0.9993433356285096,Q48611441,Culture.Sports,2501.8285115965728,34.0,78.0,251.0,0.3107569721115538,Sports,Culture,2494.36096572876,97374.00747764856,0.025616291558107244
4367,16.0,55772605.0,Wedding of Prince Harry and Meghan Markle,1.0000100135803225,Q43890449,History_and_Society.Society,71509.99166659829,0.0,15.0,864.0,0.017361111111111112,Society,History_and_Society,240.00240325927743,14419.448549680412,0.0166443537998266
4368,30.0,55773426.0,Cycling at the 2018 Summer Youth Olympics,0.9942797422409058,Q48611448,Culture.Sports,428.90012942547133,34.0,78.0,251.0,0.3107569721115538,Sports,Culture,2326.6145968437195,97374.00747764856,0.0238935898512524
4369,20.0,55774730.0,Philippines at the 2018 Summer Youth Olympics,0.8558611869812012,Q48608623,Culture.Sports,6.3197922524300125,34.0,78.0,251.0,0.3107569721115538,Sports,Culture,1335.1434516906736,97374.00747764856,0.01371149741369272
4370,9.0,55785904.0,The Haunting of Hill House (TV series),0.9615437984466552,Q43379503,Culture.Media.Media*,83519.115064118,0.0,43.0,864.0,0.04976851851851852,Media*,Culture,372.11744999885553,14419.448549680412,0.025806635303477196
4371,1.0,55789983.0,Olga FitzGeorge,0.6001983880996704,Q43371068,History_and_Society.History,0.0,27.0,22.0,521.0,0.04222648752399232,History,History_and_Society,13.204364538192749,11904.828829459846,0.0011091603858693923
4372,4.0,55818931.0,National Supervisory Commission,0.2814156115055084,Q30946410,History_and_Society.Politics_and_government,37601.92310978143,17.0,77.0,605.0,0.12727272727272726,Politics_and_government,History_and_Society,86.6760083436966,22815.229637481276,0.003799041680531836
4373,1.0,55847335.0,Mo Alie-Cox,0.880807101726532,Q43374933,Culture.Sports,0.0,9.0,347.0,1126.0,0.3081705150976909,Sports,Culture,305.64006429910665,681993.6636331379,0.00044815675071069045
4374,7.0,55849111.0,Lou Trivino,0.9995221495628356,Q52004077,Culture.Sports,4646.0,6.0,220.0,942.0,0.2335456475583864,Sports,Culture,1539.2641103267667,264018.3338083327,0.005830140991057896
4375,2.0,55849651.0,George FitzGeorge Hamilton,0.5544804334640503,Q56061812,History_and_Society.Military_and_warfare,4646.0,27.0,33.0,521.0,0.06333973128598848,Military_and_warfare,History_and_Society,36.59570860862732,11904.828829459846,0.003074022241971854
4376,8.0,55864095.0,2018 BYU Cougars football team,0.9954004287719728,Q48698716,Culture.Sports,121482.27340246185,31.0,191.0,684.0,0.2792397660818713,Sports,Culture,1520.9718551635744,126414.49858804794,0.012031625107496786
4377,1.0,55878828.0,North Korean ghost ships,0.4810237755775452,Q48999067,Geography.Regions.Asia.East_Asia,0.0,11.0,5.0,868.0,0.00576036866359447,East_Asia,Geography,0.0,25665.63115843385,0.0
4378,14.0,55902371.0,American Music Award for Tour of the Year,0.4765896201133728,Q48800562,History_and_Society.Society,2309.7000000000007,12.0,21.0,140.0,0.15,Society,History_and_Society,140.11734831333158,5263.4697250276795,0.026620718961691138
4379,9.0,55908425.0,Josey Jewell,0.9790457487106324,Q43923410,Culture.Sports,13055.02294268259,9.0,347.0,1126.0,0.3081705150976909,Sports,Culture,3057.559873223305,681993.6636331379,0.004483267273972864
4380,1.0,55945206.0,Dali (goddess),0.7490972280502319,Q7192221,Culture.Literature,0.0,4.0,3.0,756.0,0.003968253968253968,Literature,Culture,2.247291684150696,98123.45835264774,2.290269546018356e-05
4381,12.0,55957796.0,Major Olímpio,0.11921291798353195,Q16940797,History_and_Society.Politics_and_government,6.1883526383526375,40.0,35.0,140.0,0.25,Politics_and_government,History_and_Society,50.06942555308342,12375.503815211356,0.004045849470107275
4382,27.0,55974675.0,Iran at the 2018 Summer Youth Olympics,0.4225146472454071,Q46246290,Culture.Sports,29278.97045444439,34.0,78.0,251.0,0.3107569721115538,Sports,Culture,889.8158470988274,97374.00747764856,0.009138124948827618
4383,3.0,55981803.0,Rachel White (actress),0.9947898983955384,Q44905254,Culture.Biography.Biography*,4643.5,28.0,38.0,249.0,0.15261044176706828,Biography*,Culture,0.0,843.5838776528834,0.0
4384,2.0,55997551.0,List of accolades received by Call Me by Your Name,0.5234303474426271,Q45026688,Culture.Media.Media*,4646.0,21.0,13.0,131.0,0.09923664122137403,Media*,Culture,13.609189033508306,688.0957335904242,0.0197780459449977
4385,2.0,56005947.0,RV Petrel,1.0000100135803225,Q47012687,History_and_Society.Transportation,9290.0,9.0,1.0,1126.0,0.0008880994671403197,Transportation,History_and_Society,2.000020027160645,681993.6636331379,2.93260793143748e-06
4386,43.0,56012026.0,China at the 2018 Summer Youth Olympics,0.5544804334640503,Q48609455,Culture.Sports,13949.371854464629,34.0,78.0,251.0,0.3107569721115538,Sports,Culture,1859.7273738384247,97374.00747764856,0.019098806981578842
4387,9.0,56027000.0,2018 Iowa State Cyclones football team,0.996837317943573,Q48844633,Culture.Sports,7442.796325352441,31.0,191.0,684.0,0.2792397660818713,Sports,Culture,1713.5633495450022,126414.49858804794,0.013555117242754414
4388,3.0,56033357.0,David Montgomery (American football),0.9579222798347472,Q48977154,Culture.Sports,10.936293762996547,31.0,191.0,684.0,0.2792397660818713,Sports,Culture,548.8894663453101,126414.49858804794,0.004341981912486151
4389,34.0,56057589.0,Boxing at the 2018 Summer Youth Olympics,0.9980222582817078,Q48608661,Culture.Sports,3362.52629126758,34.0,78.0,251.0,0.3107569721115538,Sports,Culture,2646.755028963089,97374.00747764856,0.02718132998244558
4390,2.0,56062427.0,Daniel Roman (boxer),0.946606695652008,Q47350174,Culture.Sports,0.0,30.0,34.0,684.0,0.049707602339181284,Sports,Culture,64.36925530433653,47750.223407790065,0.0013480409244291662
4391,2.0,56065233.0,2018 Copa Libertadores final stages,0.9973783493041992,Q48845075,Culture.Sports,11936.560232008876,5.0,106.0,407.0,0.26044226044226043,Sports,Culture,211.44421005249023,35399.361412614584,0.005973108034009392
4392,8.0,56078059.0,2018 Thailand motorcycle Grand Prix,0.1520422399044037,Q54405492,History_and_Society.Politics_and_government,10063.000000000216,35.0,5.0,256.0,0.01953125,Politics_and_government,History_and_Society,6.081689596176148,29450.971630617973,0.00020650217155665818
4393,7.0,56110221.0,2018 in Konfrontacja Sztuk Walki,0.16452647745609286,Q48964779,Culture.Sports,4653.0,4.0,139.0,756.0,0.18386243386243387,Sports,Culture,160.08426256477836,98123.45835264774,0.0016314576071039867
