,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
10825821,Siège_de_Foua_et_Kafraya,17,93.478264,235,94,0,-2.833087,-8.566531,10825821,65,7,290.7207642769923
10851956,Alivereti_Raka,6,20.434784,0,126,172,-24.492865,-14.515966,10851956,9,11,195.12661207692278
10856509,Offensive_de_Hama_(2016),10,47.826084,114,121,10,0.6774194,12.564838,10856509,30,13,12.483250291257193
10856745,Brillantissime,11,10.0,0,168,183,-2.0480483,1.4378765,10856745,1,1,0.0
10874016,Boris_Vallaud,4,11.304348,60,163,0,18.15474,15.697323,10874016,2,6,0.0
10900555,Matthijs_de_Ligt,16,21.73913,153,96,160,19.435692,-8.2374,10900555,10,15,29475.96876007493
10912105,Phil_Foden,9,10.0,255,42,47,11.457635,22.103474,10912105,1,0,0.0
10924649,Félix_Lambey,6,24.347828,0,126,172,20.682022,17.295723,10924649,12,11,13.37217227217227
10931424,Bataille_de_Qamichli,10,50.434784,114,121,10,-20.495966,18.111725,10931424,32,13,7911.116432117771
10934615,Huguette_Tiegna,19,11.304348,185,97,239,10.31935,0.092791185,10934615,2,5,2096.0
10936170,Stéphanie_Do,4,10.0,60,163,0,-3.9888208,17.908234,10936170,1,6,0.0
10980456,Maria_Chiara_de_Bourbon_des_Deux-Siciles,0,11.304348,235,44,170,-3.9868596,-12.619528,10980456,2,10,0.0
10980457,Maria_Carolina_de_Bourbon_des_Deux-Siciles,0,12.608696,235,44,170,-12.053961,17.11388,10980457,3,10,0.5
10985501,"Dumbo_(film,_2019)",0,15.217392,235,44,170,11.260335,-14.9740095,10985501,5,2,22228.689619367564
11024091,Tournoi_des_Six_Nations_2018,6,30.869566,0,126,172,-9.318756,-20.406906,11024091,17,11,641.068169423072
11031488,Richarlison,16,10.0,153,96,160,-22.228262,-12.020675,11031488,1,15,0.0
11052252,Offensive_du_Jouroud_de_Qaa_et_Ras_Baalbeck,17,94.78261,235,94,0,-1.8009464,13.193953,11052252,66,7,388.2891982498146
11059534,Numéro_une,13,10.0,0,134,74,23.47366,22.703188,11059534,1,17,0.0
11063465,Bienvenue_à_Marwen,5,11.304348,54,124,233,-3.8597534,-5.338572,11063465,2,1,0.0
11068630,Offensive_de_la_Badiya,17,96.08696,235,94,0,-12.450735,8.316735,11068630,67,7,1539.68387018816
11092961,Bataille_de_Maarat_al-Nouman_(2016),17,88.260864,235,94,0,-1.8294644,-6.172979,11092961,61,7,837.3373393074684
11093870,"Le_Roi_lion_(film,_2019)",11,16.52174,0,168,183,-1.6384376,16.475157,11093870,6,8,3666.499999999999
11096510,Bataille_de_Jabal_al-Zawiya_(2014),10,49.130432,114,121,10,-5.2233524,-9.715468,11096510,31,13,201.46746686316374
11100143,Offensive_de_Hama_(2015),17,88.260864,235,94,0,0.39379254,0.9784295,11100143,61,7,6387.519120137288
11115582,Offensive_de_Tasil_(2016),17,92.17391,235,94,0,-24.321775,-17.87268,11115582,64,7,2848.76354263619
11123603,Jordan_Bardella,19,11.304348,185,97,239,-13.148515,14.460007,11123603,2,5,1049.0
11161307,Bataille_de_Mayadine,10,46.52174,114,121,10,2.217157,-5.684006,11161307,29,13,7.632371880607252
11234039,Bataille_de_Boukamal_(2017),17,90.86957,235,94,0,11.268559,-8.001628,11234039,63,7,225.43736805319887
11258019,Élections_législatives_partielles_au_cours_de_la_XVe_législature_de_la_Cinquième_République_française,19,12.608696,185,97,239,-15.23821,6.986427,11258019,3,5,3143.0000000000005
11287716,"Stars_80,_la_suite",14,13.913044,0,164,49,17.704697,-6.5857754,11287716,4,2,2096.0000000000005
11301632,Agir,19,10.0,185,97,239,3.9612875,5.2943544,11301632,1,5,0.0
11352977,Željko_Krajan,13,15.217392,0,134,74,7.9787283,1.1512369,11352977,5,17,0.44999999999999996
11373015,Kevin_Mbabu,16,17.826088,153,96,160,-8.935794,7.592288,11373015,7,15,0.0
11390965,Bataille_de_Beït_Djine,17,92.17391,235,94,0,-11.357704,19.512253,11390965,64,7,2159.450455947601
11434825,Ilian_Bergala,11,11.304348,0,168,183,22.478096,-21.974985,11434825,2,1,3141.0
11464085,Lucas_Torreira,16,13.913044,153,96,160,1.956287,-12.411209,11464085,4,15,0.0
11535465,Élection_présidentielle_géorgienne_de_2018,9,13.913044,255,42,47,2.412518,-9.877941,11535465,4,4,0.3333333333333333
11604880,Empoisonnement_de_Sergueï_et_Ioulia_Skripal,17,12.608696,235,94,0,6.460951,-22.818174,11604880,3,7,4.433539508243878
11618737,Attaque_chimique_de_Douma,17,98.695656,235,94,0,12.341752,-23.780878,11618737,69,7,754.8080664529787
