,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
11147759,Geneviève Guilbault,17,32.285713,185,97,239,-3.2768934,-9.119911,11147759,27,12,96.33696416671101,Q41545405
11194418,Robert Lafrenière,17,10.857142,185,97,239,22.22851,11.530193,11194418,2,12,30.124557252102534,Q43241260
11202391,Le Tueur du lac,12,10.0,60,163,0,-14.425415,15.579269,11202391,1,5,0.0,Q48752326
11230684,La plus belle pour aller danser,18,11.714286,193,77,88,3.0213814,5.7673135,11230684,3,3,902.9326686203539,Q42857839
11281028,Championnat du monde des rallyes 2018,2,10.857142,0,148,245,14.027166,18.896925,11281028,2,16,0.0,Q30681609
11292158,Bataille des sexes (tennis),5,11.714286,235,44,170,-17.81523,11.017515,11292158,3,13,0.0,Q1187909
11301632,Agir,8,10.0,153,96,160,10.712363,21.577467,11301632,1,7,0.0,Q43807777
11308810,Crimes parfaits,12,15.142857,60,163,0,12.856968,22.89398,11308810,7,5,32965.2891813469,Q48754323
11329661,Charles Aznavour (Il faut savoir),18,20.285713,193,77,88,21.791006,23.078424,11329661,13,3,1.491666666666667,Q15876622
11346318,Élections législatives fédérales belges de 2019,8,26.285715,153,96,160,-13.442688,-14.037641,11346318,20,7,1937.2821652898315,Q25054487
11374129,Philippe Grangeon,13,10.857142,253,0,107,21.531141,7.467869,11374129,2,15,0.0,Q33178250
11397714,Classement mondial UCI 2018,10,13.428572,114,121,10,-22.553251,5.385842,11397714,5,14,5519.223232323341,Q47517245
11413214,Grand Prix automobile du Japon 2018,2,13.428572,0,148,245,10.104248,8.357589,11413214,5,16,3007.5,Q48311346
11437922,Lebo Mothiba,7,10.0,54,124,233,-18.790474,-10.656999,11437922,1,10,0.0,Q26260234
11451311,Amaury de Crayencour,12,10.0,60,163,0,-23.87861,-9.101366,11451311,1,5,0.0,Q48758924
11467250,Frenkie de Jong,14,14.285714,0,134,74,23.583738,-7.4769874,11467250,6,4,0.0,Q19898898
11469696,Suicide Is Painless,18,12.571428,193,77,88,17.864792,-24.119858,11469696,4,3,612.7464931709118,Q650438
11537971,Jean-Rachid Kallouche,18,11.714286,193,77,88,18.412613,22.580427,11537971,3,3,4603.42253387136,Q50364763
11550352,Jhon Rachid,18,10.0,193,77,88,-5.148063,4.5637555,11550352,1,3,0.0,Q55597435
11551490,Sergueï Skripal,11,11.714286,175,95,13,-11.137469,-4.3989778,11551490,3,3,10301.233700914876,Q3742411
11552066,Marie-Aldine Girard,12,10.857142,60,163,0,-18.290257,2.6784973,11552066,2,5,0.0,Q47008198
11566764,Patrice Debré,3,10.0,0,160,220,12.6726465,1.7985486,11566764,1,12,0.0,Q33102399
11580208,Attaques du 23 mars 2018 à Carcassonne et Trèbes,18,10.0,193,77,88,-21.07835,17.231081,11580208,1,12,0.0,Q50842170
11581592,Arnaud Beltrame,1,10.857142,235,94,0,10.812302,-22.251863,11581592,2,8,475.80654115302576,Q50862318
11592560,"Charles Aznavour chante Charles Aznavour, vol. 2",18,19.428572,193,77,88,-2.9253323,-10.676764,11592560,12,3,0.0,Q21055110
11592635,"Charles Aznavour chante Charles Aznavour, vol. 3",18,19.428572,193,77,88,9.787587,10.191529,11592635,12,3,0.0,Q21055111
11592699,Encores (album de Charles Aznavour),18,19.428572,193,77,88,4.236177,20.208448,11592699,12,3,0.0,Q52202954
11600534,Duc de Sussex,1,12.571428,235,94,0,23.96713,21.828583,11600534,4,8,0.0,Q772304
11604880,Empoisonnement de Sergueï et Ioulia Skripal,11,11.714286,175,95,13,18.149021,3.1771703,11604880,3,3,13789.077983042042,Q50415393
11614612,Amplification par dérive de fréquence,15,10.857142,0,134,135,11.511686,17.546675,11614612,2,9,0.0,Q905436
11633141,"Cold War (film, 2018)",12,10.0,60,163,0,-22.046183,23.549425,11633141,1,5,0.0,Q51834363
11636500,Mohamed Farès,14,11.714286,0,134,74,-3.1022205,8.406024,11636500,3,4,0.0,Q18719399
11638853,Liste des lauréats du prix Nobel par pays,15,19.428572,0,134,135,-9.5292225,-19.583853,11638853,12,9,19942.11861678025,Q218964
11651009,Nikol Pachinian,18,13.428572,193,77,88,-2.0246477,-22.979328,11651009,5,3,13.476190476190467,Q7035479
11653372,Résultats électoraux de Verdun,19,16.0,0,168,183,7.012773,23.560957,11653372,8,0,0.5312976208160107,Q55599657
11697803,Mariage du prince Harry et de Meghan Markle,1,16.857143,235,94,0,24.491083,-13.529811,11697803,9,8,59.20000000000006,Q43890449
11720277,Meurtres en Haute-Savoie,12,15.142857,60,163,0,19.27064,8.747818,11720277,7,5,6423.901197079261,Q55598617
11755017,Comment tuer sa mère,1,10.0,235,94,0,-1.1760299,-0.45157522,11755017,1,8,0.0,Q55420260
11755141,Suzanne Avon,18,10.0,193,77,88,11.031134,-3.9449053,11755141,1,3,0.0,Q55599960
11802275,On Her Shoulders,18,11.714286,193,77,88,13.590951,3.4215708,11802275,3,3,0.0,Q55183044
11853771,Remco Evenepoel,10,10.0,114,121,10,15.203496,9.681685,11853771,1,14,0.0,Q50821956
11887641,Référendum macédonien de 2018,18,11.714286,193,77,88,6.173287,-11.418774,11887641,3,3,157.44159279679022,Q55640952
11918230,Rocketman (film),11,10.0,175,95,13,21.026075,11.470054,11918230,1,11,0.0,Q55934795
11983542,Manuel Joaquim,6,10.0,255,42,47,-23.273449,-4.9047904,11983542,1,13,0.0,Q28104725
11986417,Ugo Humbert,5,10.0,235,44,170,23.326288,-8.000859,11986417,1,13,0.0,Q54007306
12025409,Élections fédérales canadiennes de 2019,17,15.142857,185,97,239,10.698717,11.847897,12025409,7,12,8.231506091969106,Q24190721
12029258,Tour de Turquie 2018,10,10.857142,114,121,10,9.49446,-14.490433,12029258,2,14,0.0,Q52386184
12039750,Noussair Mazraoui,7,10.0,54,124,233,1.6936958,20.728014,12039750,1,10,0.0,Q26266244
12049617,Saison 5 de The Voice Kids,1,13.428572,235,94,0,-22.845936,10.35106,12049617,5,8,9388.0,Q60847131
12054670,Tournoi de tennis de Chine (WTA 2018),5,10.857142,235,44,170,21.761429,-22.033092,12054670,2,13,1345.0,Q56819287
12054789,Tournoi de tennis de Chine (ATP 2018),5,11.714286,235,44,170,12.231033,13.042635,12054789,3,13,2688.5,Q56819344
12054880,Tournoi de tennis du Japon (ATP 2018),5,10.857142,235,44,170,9.66823,-9.651151,12054880,2,13,2013.0,Q56742799
12059515,Tasuku Honjo,15,16.857143,0,134,135,-17.70006,-14.239863,12059515,9,9,1976.29378088192,Q2395341
12061545,Ruba Ghazal,17,34.857143,185,97,239,10.319467,5.797079,12061545,30,12,43.72364507808216,Q56861255
12061635,Émilise Lessard-Therrien,17,30.571428,185,97,239,20.551168,-15.2894,12061635,25,12,7.3096960103332576,Q56876712
12061890,Ils ont échangé mon enfant,12,11.714286,60,163,0,-2.2436278,-23.436014,12061890,3,5,5792.690002104404,Q60847352
12062141,Donna Strickland,15,18.571428,0,134,135,11.632062,-16.648855,12062141,11,9,731.8562191180796,Q56855591
12065081,Frances Arnold,15,14.285714,0,134,135,-7.397436,24.465342,12065081,6,9,1018.1413789918766,Q4273363
12066608,George Smith (chimiste),15,14.285714,0,134,135,-7.325289,17.039501,12066608,6,9,3.850000000000001,Q56868017
12066716,Gregory Winter,15,14.285714,0,134,135,-3.34614,-3.703958,12066716,6,9,3.850000000000001,Q1545000
12067461,Grand Prix Bruno Beghelli 2018,10,10.857142,114,121,10,9.724609,-21.156954,12067461,2,14,13360.0,Q56871049
12067467,Paris-Tours 2018,10,14.285714,114,121,10,-1.5361854,-14.409881,12067467,6,14,16460.666666666384,Q56871290
12073587,Montserrat Martí,18,10.0,193,77,88,7.951216,-5.470204,12073587,1,3,0.0,Q3862540
12073980,Tournoi de tennis de Tianjin (WTA 2018),5,12.571428,235,44,170,5.375327,-14.014604,12073980,4,13,0.0,Q56850088
12076733,Jamal Khashoggi,12,12.571428,60,163,0,13.304491,10.085505,12076733,4,2,95179.107098571,Q1262052
12083972,"Simetierre (film, 2019)",16,10.857142,152,129,0,7.9934487,-6.3744183,12083972,2,6,1345.0,Q55102449
12084884,Tour de Lombardie 2018,10,18.571428,114,121,10,24.136362,-3.4679127,12084884,11,14,24390.300757575376,Q52386201
12094078,Ouragan Leslie (2018),1,12.571428,235,94,0,8.405653,14.939013,12094078,4,8,707.2050626156904,Q57243792
12609102,James Allison,15,10.0,0,134,135,10.635316,3.3518987,12609102,1,9,0.0,Q623160
