Id,Qid,topic,probability,page_title,wiki_db,Modularity Class,Label
40647754,Q14924659,Culture.Sports,0.84,Artem_Markelov,enwiki,6.0,Ukraine
859556,Q2030510,Culture.Media.Media*,0.99,The_Singing_Detective_(film),enwiki,12.0,Bernardo Bertolucci death
859556,Q2030510,Culture.Media.Films,0.99,The_Singing_Detective_(film),enwiki,12.0,Bernardo Bertolucci death
180486,Q211867,Geography.Regions.Americas.North_America,0.95,Oshawa,enwiki,8.0,Space missions
5198966,Q4796868,Culture.Biography.Biography*,0.99,Art_Hindle,enwiki,8.0,Space missions
55907851,Q17492679,STEM.Technology,0.99,Firefly_Aerospace,enwiki,8.0,Space missions
43431834,Q17492679,STEM.Technology,0.99,Firefly_Aerospace,enwiki,8.0,Space missions
55907851,Q17492679,STEM.Space,0.99,Firefly_Aerospace,enwiki,8.0,Space missions
43431834,Q17492679,STEM.Space,0.99,Firefly_Aerospace,enwiki,8.0,Space missions
55907851,Q17492679,History_and_Society.Transportation,0.99,Firefly_Aerospace,enwiki,8.0,Space missions
43431834,Q17492679,History_and_Society.Transportation,0.99,Firefly_Aerospace,enwiki,8.0,Space missions
55907851,Q17492679,STEM.STEM*,0.97,Firefly_Aerospace,enwiki,8.0,Space missions
43431834,Q17492679,STEM.STEM*,0.97,Firefly_Aerospace,enwiki,8.0,Space missions
55907851,Q17492679,Geography.Regions.Americas.North_America,0.87,Firefly_Aerospace,enwiki,8.0,Space missions
43431834,Q17492679,Geography.Regions.Americas.North_America,0.87,Firefly_Aerospace,enwiki,8.0,Space missions
