,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Views,Weight,Main topic,Subtopic
698,8.0,3324176.0,Sergio Pérez,24.0,0.94500470161438,Q82805,Culture.Biography.Biography*,116.0,0.4420024420024419,157.0,18.0,0.0,29.6875,-5.674857,8.823274000000003,1592.0,7.56003761291504,Culture,Biography*
699,1.0,3392899.0,Alana de la Garza,13.0,0.9994572401046752,Q265285,Culture.Biography.Biography*,239.0,0.0,97.0,5.0,185.0,10.0,-6.5219755,18.843595999999998,1785.0,0.9994572401046752,Culture,Biography*
700,16.0,3404472.0,Ian Poulter,5.0,0.9994397163391112,Q615937,Culture.Sports,0.0,76.91654210458891,129.0,10.0,152.0,52.1875,23.511967000000002,-9.769547,4433.0,15.99103546142578,Culture,Sports
701,4.0,3415864.0,Stade Geoffroy-Guichard,19.0,0.9841036200523376,Q861000,Geography.Regions.Europe.Europe*,88.0,1000.4568917318612,77.0,12.0,193.0,18.4375,20.205572,-19.31212,2156.0,3.9364144802093506,Geography,Europe*
702,9.0,3420891.0,Historique du parcours européen du Liverpool FC,2.0,0.812877357006073,Q458675,Culture.Sports,0.0,10952.496187586356,94.0,0.0,235.0,32.5,-24.034132,-13.988101,2525.0,7.315896213054657,Culture,Sports
703,25.0,3427713.0,Justin Rose,5.0,1.0000100135803225,Q722750,Culture.Sports,0.0,105.40755059409278,129.0,10.0,152.0,77.5,-16.164460000000002,20.213133,4247.0,25.000250339508064,Culture,Sports
704,1.0,3446185.0,Brooke Burke,13.0,0.9994742274284364,Q439927,Culture.Biography.Biography*,239.0,0.0,97.0,5.0,185.0,10.0,-2.3786201,17.235899,1904.0,0.9994742274284364,Culture,Biography*
705,1.0,3449298.0,Stéphanie Crayencour,25.0,0.9951046109199524,Q861481,Culture.Biography.Biography*,47.0,0.0,42.0,13.0,255.0,10.0,-13.273395,22.746967,3167.0,0.9951046109199524,Culture,Biography*
706,4.0,3465030.0,Timothée Kolodziejczak,19.0,0.9980832934379578,Q177595,Culture.Biography.Biography*,88.0,2033.3095238095173,77.0,12.0,193.0,18.4375,17.161045,-22.366425,3062.0,3.992333173751831,Culture,Biography*
707,7.0,3473932.0,Georginio Wijnaldum,2.0,0.99745911359787,Q372379,Culture.Biography.Biography*,0.0,4981.63105024069,94.0,0.0,235.0,26.875,16.052502,0.0057600145,2800.0,6.98221379518509,Culture,Biography*
708,7.0,3474595.0,Rohan Dennis,10.0,0.9988405108451844,Q509227,Culture.Sports,74.0,2010.6880591630668,134.0,16.0,0.0,26.875,1.8048422,-12.615934,2387.0,6.991883575916291,Culture,Sports
709,3.0,3481656.0,Dimitri Storoge,22.0,0.9991269707679749,Q3028147,Culture.Biography.Biography*,135.0,14601.621533413652,134.0,8.0,0.0,15.625,-21.16459,15.265732,2769.0,2.9973809123039246,Culture,Biography*
710,1.0,3493802.0,Aleksandar Kolarov,24.0,0.9994215965270996,Q211451,Culture.Biography.Biography*,116.0,0.0,157.0,0.0,0.0,10.0,14.131345000000001,24.840689,1657.0,0.9994215965270996,Culture,Biography*
711,2.0,3507686.0,Yannick Jadot,21.0,0.9942797422409058,Q441791,Culture.Biography.Biography*,107.0,2304.0,0.0,14.0,253.0,12.8125,6.498741000000001,-9.426383999999999,1670.0,1.9885594844818115,Culture,Biography*
712,1.0,3514056.0,Jonathan Pitroipa,2.0,0.9985088109970092,Q434436,Culture.Biography.Biography*,0.0,0.0,94.0,0.0,235.0,10.0,-6.094254,15.361968,4323.0,0.9985088109970092,Culture,Biography*
713,4.0,3528818.0,Adventure Line Productions,10.0,0.7122421860694885,Q2825393,History_and_Society.Business_and_economics,74.0,4601.0,134.0,16.0,0.0,18.4375,-1.4762926,-23.448519,2615.0,2.848968744277954,History_and_Society,Business_and_economics
714,1.0,3542499.0,Bernard Tomic,26.0,0.9992545843124392,Q288326,Culture.Biography.Biography*,192.0,0.0,192.0,21.0,192.0,10.0,15.821654999999998,-14.087016,1973.0,0.9992545843124392,Culture,Biography*
