,Qid,topic,probability,page_id,page_title,wiki_db,Modularity_Class
4484,Q310668,Culture.Biography.Biography*,0.98,2943775,Cheick_Tioté,enwiki,11.0
4485,Q310668,Culture.Sports,0.96,2943775,Cheick_Tioté,enwiki,11.0
4486,Q310668,Geography.Regions.Africa.Africa*,0.87,2943775,Cheick_Tioté,enwiki,11.0
4487,Q3112739,Culture.Sports,1.0,19374565,1966_New_York_Giants_season,enwiki,2.0
4488,Q3112739,Geography.Regions.Americas.North_America,0.85,19374565,1966_New_York_Giants_season,enwiki,2.0
4489,Q10396454,Culture.Biography.Biography*,0.8,49105037,Man_of_the_Hole,enwiki,7.0
4490,Q10396454,Geography.Regions.Americas.South_America,0.66,49105037,Man_of_the_Hole,enwiki,7.0
4491,Q1570560,Culture.Media.Media*,0.99,1072033,Doppelgänger_(1969_film),enwiki,8.0
4492,Q1570560,Culture.Media.Films,0.99,1072033,Doppelgänger_(1969_film),enwiki,8.0
4493,Q1570560,Culture.Media.Entertainment,0.56,1072033,Doppelgänger_(1969_film),enwiki,8.0
4494,Q936105,History_and_Society.Military_and_warfare,1.0,42799055,Armed_Forces_of_Ukraine,enwiki,6.0
4495,Q936105,Geography.Regions.Europe.Eastern_Europe,1.0,42799055,Armed_Forces_of_Ukraine,enwiki,6.0
4496,Q936105,Geography.Regions.Europe.Europe*,0.98,42799055,Armed_Forces_of_Ukraine,enwiki,6.0
4497,Q6707639,Culture.Biography.Biography*,1.0,34536091,Lydia_Ko,enwiki,3.0
4498,Q6707639,Culture.Sports,1.0,34536091,Lydia_Ko,enwiki,3.0
4499,Q6707639,Culture.Biography.Women,0.99,34536091,Lydia_Ko,enwiki,3.0
4500,Q1484007,History_and_Society.Business_and_economics,1.0,13487973,2008_G20_Washington_summit,enwiki,6.0
4501,Q1484007,History_and_Society.Politics_and_government,0.99,13487973,2008_G20_Washington_summit,enwiki,6.0
4502,Q1484007,Geography.Regions.Americas.North_America,0.67,13487973,2008_G20_Washington_summit,enwiki,6.0
4503,Q3013444,Culture.Biography.Biography*,1.0,40370459,Dane_Haylett-Petty,enwiki,0.0
4504,Q3013444,Culture.Sports,0.74,40370459,Dane_Haylett-Petty,enwiki,0.0
4505,Q6589050,History_and_Society.Military_and_warfare,0.86,29218529,List_of_Major_League_Baseball_stolen_base_records,enwiki,2.0
4506,Q868482,Culture.Sports,1.0,329195,Comerica_Park,enwiki,9.0
4507,Q868482,Geography.Regions.Americas.North_America,0.97,329195,Comerica_Park,enwiki,9.0
4508,Q55820249,Culture.Biography.Biography*,1.0,58024098,Emile_Smith_Rowe,enwiki,6.0
4509,Q55820249,Culture.Sports,0.98,58024098,Emile_Smith_Rowe,enwiki,6.0
4510,Q129429,Culture.Biography.Women,1.0,32788,Vivien_Leigh,enwiki,3.0
4511,Q129429,Culture.Biography.Biography*,1.0,32788,Vivien_Leigh,enwiki,3.0
4512,Q129429,History_and_Society.History,0.89,32788,Vivien_Leigh,enwiki,3.0
4513,Q129429,Culture.Performing_arts,0.72,32788,Vivien_Leigh,enwiki,3.0
4514,Q16892080,Culture.Biography.Biography*,0.99,42648640,Trai_Turner,enwiki,2.0
4515,Q16892080,Culture.Sports,0.97,42648640,Trai_Turner,enwiki,2.0
4516,Q363413,Culture.Biography.Biography*,1.0,1026588,Vittorio_Storaro,enwiki,12.0
4517,Q363413,Geography.Regions.Europe.Southern_Europe,0.78,1026588,Vittorio_Storaro,enwiki,12.0
4518,Q363413,Geography.Regions.Europe.Europe*,0.67,1026588,Vittorio_Storaro,enwiki,12.0
