,Qid,topic,probability,page_id,page_title,modularity_class,wiki_db
6648,Q915280,Culture.Media.Media*,0.8634016513824463,18636995,Golden Trailer Awards,3,enwiki
6649,Q915280,Culture.Media.Films,0.8479777574539185,18636995,Golden Trailer Awards,3,enwiki
6650,Q232246,Culture.Visual_arts.Comics_and_Anime,0.9959398508071899,7341,Cowboy Bebop,3,enwiki
6651,Q232246,Culture.Visual_arts.Visual_arts*,0.9921941161155701,7341,Cowboy Bebop,3,enwiki
6652,Q232246,Culture.Literature,0.9899964332580566,7341,Cowboy Bebop,3,enwiki
6653,Q232246,Culture.Media.Media*,0.6723417043685913,7341,Cowboy Bebop,3,enwiki
6654,Q4655508,Culture.Media.Media*,0.9525841474533081,14925613,A Blank on the Map,7,enwiki
6655,Q4655508,Culture.Media.Films,0.8670457601547241,14925613,A Blank on the Map,7,enwiki
6656,Q4655508,Culture.Media.Television,0.6723417043685913,14925613,A Blank on the Map,7,enwiki
6657,Q4655508,STEM.STEM*,0.5544804334640503,14925613,A Blank on the Map,7,enwiki
6658,Q83279,Culture.Media.Media*,0.9770326614379883,2655089,SpongeBob SquarePants,9,enwiki
6659,Q83279,Culture.Media.Television,0.9073222279548645,2655089,SpongeBob SquarePants,9,enwiki
6660,Q14945895,Culture.Biography.Biography*,0.9970290064811707,40540617,Keita Baldéz,11,enwiki
6661,Q14945895,Culture.Sports,0.9883227348327637,40540617,Keita Baldéz,11,enwiki
6662,Q55263917,Culture.Sports,0.994455099105835,56932039,2018 Appalachian State Mountaineers football team,2,enwiki
6663,Q55263917,Geography.Regions.Americas.North_America,0.2653036584854126,56932039,2018 Appalachian State Mountaineers football team,2,enwiki
6664,Q16149172,Culture.Sports,0.9992059469223022,41447439,Alexander Albon,6,enwiki
6665,Q16149172,Culture.Biography.Biography*,0.9951046109199524,41447439,Alexander Albon,6,enwiki
6666,Q3509730,Culture.Media.Films,0.9995221495628357,21030957,Obsession,3,enwiki
6667,Q3509730,Culture.Media.Media*,0.9988764524459839,21030957,Obsession,3,enwiki
6668,Q3660080,Culture.Biography.Biography*,0.9946250915527344,31463719,Carlos Izquierdoz,11,enwiki
6669,Q3660080,Culture.Sports,0.9855064153671265,31463719,Carlos Izquierdoz,11,enwiki
6670,Q3660080,Geography.Regions.Americas.South_America,0.2047950496673584,31463719,Carlos Izquierdoz,11,enwiki
6671,Q178765,STEM.Engineering,0.9935217499732971,266871,Atlantic Southeast Airlines,9,enwiki
6672,Q178765,STEM.STEM*,0.9903015494346619,266871,Atlantic Southeast Airlines,9,enwiki
6673,Q178765,History_and_Society.Transportation,0.9883227348327637,266871,Atlantic Southeast Airlines,9,enwiki
6674,Q178765,Geography.Regions.Americas.North_America,0.23006861114501953,266871,Atlantic Southeast Airlines,9,enwiki
6675,Q6590615,Compilation.List_Disambig,1.0,3442849,list of Monday Night Football results,2,enwiki
6676,Q6590615,Geography.Regions.Americas.North_America,0.15036486291885376,3442849,list of Monday Night Football results,2,enwiki
6677,Q2823917,Culture.Sports,0.9995794296264648,1242373,Adam Archuleta,2,enwiki
6678,Q2823917,Culture.Biography.Biography*,0.9969346523284912,1242373,Adam Archuleta,2,enwiki
6679,Q2823917,Geography.Regions.Americas.North_America,0.4840529432296753,1242373,Adam Archuleta,2,enwiki
6680,Q6632246,Compilation.List_Disambig,1.0,416737,list of people from Alabama,2,enwiki
6681,Q7088002,Geography.Regions.Americas.North_America,0.7371681928634644,17173489,Olivet University,9,enwiki
6682,Q7088002,History_and_Society.Education,0.5312193632125854,17173489,Olivet University,9,enwiki
6683,Q6276955,Culture.Biography.Biography*,0.9919480085372925,33570913,Jordan Rodgers,2,enwiki
6684,Q6276955,Culture.Sports,0.9914325475692749,33570913,Jordan Rodgers,2,enwiki
6685,Q650372,Culture.Sports,0.9993221759796143,26772525,Alireza Faghani,11,enwiki
6686,Q650372,Culture.Biography.Biography*,0.9939124584197998,26772525,Alireza Faghani,11,enwiki
6687,Q12983943,Culture.Media.Films,0.9942797422409058,51158637,Thisai Maariya Paravaigal,3,enwiki
6688,Q12983943,Culture.Media.Media*,0.9903015494346619,51158637,Thisai Maariya Paravaigal,3,enwiki
6689,Q12983943,Geography.Regions.Asia.South_Asia,0.49714242124557495,51158637,Thisai Maariya Paravaigal,3,enwiki
6690,Q12983943,Geography.Regions.Asia.Asia*,0.49069421195983887,51158637,Thisai Maariya Paravaigal,3,enwiki
6691,Q55613553,STEM.STEM*,0.9985549449920654,57917817,Heat Flow and Physical Properties Package,8,enwiki
6692,Q55613553,STEM.Space,0.9511522054672241,57917817,Heat Flow and Physical Properties Package,8,enwiki
6693,Q55613553,STEM.Technology,0.7057950496673584,57917817,Heat Flow and Physical Properties Package,8,enwiki
6694,Q3509105,Geography.Regions.Americas.North_America,0.9525841474533081,20415977,Patuxet tribe,3,enwiki
6695,Q3509105,Geography.Geographical,0.8706072568893433,20415977,Patuxet tribe,3,enwiki
6696,Q731975,Compilation.List_Disambig,1.0,16385079,list of players with eight or more points in an NHL game,2,enwiki
6697,Q731975,Culture.Sports,0.9958112239837646,16385079,list of players with eight or more points in an NHL game,2,enwiki
6698,Q731975,Geography.Regions.Europe.Europe*,0.037993239402770995,16385079,list of players with eight or more points in an NHL game,2,enwiki
6699,Q3284260,Culture.Media.Media*,0.9980832934379578,3683731,Ship Ahoy,3,enwiki
6700,Q3284260,Culture.Media.Films,0.9966334104537964,3683731,Ship Ahoy,3,enwiki
6701,Q2059430,Culture.Biography.Biography*,0.9990402460098267,24113641,Ater Majok,9,enwiki
6702,Q2059430,Culture.Sports,0.9976133108139038,24113641,Ater Majok,9,enwiki
6703,Q49538,STEM.Space,0.9960646033287048,421565,Delta II,8,enwiki
6704,Q49538,History_and_Society.Transportation,0.9706977605819702,421565,Delta II,8,enwiki
6705,Q49538,STEM.Technology,0.9539760947227478,421565,Delta II,8,enwiki
6706,Q49538,STEM.STEM*,0.9362950325012207,421565,Delta II,8,enwiki
6707,Q5611246,Culture.Media.Media*,0.8706072568893433,20756833,group mind,3,enwiki
6708,Q5611246,STEM.STEM*,0.8311530351638794,20756833,group mind,3,enwiki
6709,Q5611246,STEM.Space,0.7773098945617676,20756833,group mind,3,enwiki
6710,Q5611246,STEM.Medicine_&_Health,0.6224693655967712,20756833,group mind,3,enwiki
6711,Q6479359,Geography.Regions.Americas.North_America,0.7663036584854126,25244331,"Lakewood, Washington police officer shooting",9,enwiki
6712,Q4611519,History_and_Society.Education,0.9988405108451843,14931889,2008 Missouri Tigers football team,2,enwiki
6713,Q4611519,Culture.Sports,0.996837317943573,14931889,2008 Missouri Tigers football team,2,enwiki
6714,Q4611519,Geography.Regions.Americas.North_America,0.4984397163391113,14931889,2008 Missouri Tigers football team,2,enwiki
6715,Q2003096,Geography.Regions.Americas.North_America,0.9979592561721802,110525,Mililani,2,enwiki
6716,Q2777999,Culture.Sports,1.0000100135803223,7255309,UFC 66,3,enwiki
6717,Q4768021,Culture.Biography.Biography*,0.9993836879730225,6941877,Annastacia Palaszczuk,10,enwiki
6718,Q4768021,Geography.Regions.Oceania,0.49454163217544556,6941877,Annastacia Palaszczuk,10,enwiki
6719,Q8023559,Culture.Biography.Biography*,0.9981998205184937,36297225,Wimpie van der Walt,0,enwiki
6720,Q8023559,Culture.Sports,0.6723417043685913,36297225,Wimpie van der Walt,0,enwiki
6721,Q984616,Culture.Biography.Biography*,0.9893575310707092,23631363,Owen Franks,0,enwiki
6722,Q984616,Culture.Sports,0.8311530351638794,23631363,Owen Franks,0,enwiki
6723,Q984616,Geography.Regions.Oceania,0.49016265773773193,23631363,Owen Franks,0,enwiki
6724,Q4587741,STEM.STEM*,1.0000100135803223,9069401,1992 Landers earthquake,9,enwiki
6725,Q4587741,STEM.Earth_and_environment,1.0000100135803223,9069401,1992 Landers earthquake,9,enwiki
6726,Q16213228,Geography.Regions.Americas.North_America,0.2653036584854126,3566083,New England Patriots Radio Network,2,enwiki
6727,Q917695,Geography.Regions.Asia.Asia*,0.15036486291885376,1334579,Sentinelese people,7,enwiki
6728,Q931300,Culture.Sports,1.0000100135803223,28970361,Alec Burks,1,enwiki
6729,Q931300,Culture.Biography.Biography*,0.9996300339698792,28970361,Alec Burks,1,enwiki
6730,Q931300,Geography.Regions.Americas.North_America,0.28694121742248535,28970361,Alec Burks,1,enwiki
6731,Q56860229,Culture.Sports,0.9883227348327637,58619599,Joe Burrow,2,enwiki
6732,Q56860229,Culture.Biography.Biography*,0.9763205647468567,58619599,Joe Burrow,2,enwiki
6733,Q59306065,History_and_Society.Politics_and_government,0.9967369437217712,59136383,TJ Cox,9,enwiki
6734,Q59306065,Culture.Biography.Biography*,0.9947898983955383,59136383,TJ Cox,9,enwiki
6735,Q59306065,Geography.Regions.Americas.North_America,0.42315183782577515,59136383,TJ Cox,9,enwiki
