,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
4327890,Vilma Degischer,19,14.615385,235,44,170,-14.460208,-16.629244,4327890,5,11,0.0,Q89761
4344065,Kelly Bochenko,2,11.153846,0,168,183,1.0271872,-1.0699061,4344065,2,9,0.0,Q3194884
4354813,Vincent Chaillet,4,10.0,235,94,0,8.739598,23.076471,4354813,1,1,0.0,Q3559528
4372012,Bombardement de Darwin,12,10.0,0,134,74,-24.673183,6.502791,4372012,1,3,0.0,Q696557
4388671,La Dernière Chanson,14,10.0,60,163,0,-14.774124,10.114269,4388671,1,0,0.0,Q900362
4426018,Amy Fisher,11,10.0,175,95,13,-9.124479,9.311374,4426018,1,0,0.0,Q467216
4427624,Roger Pierre,0,14.615385,193,77,88,23.75552,18.158598,4427624,5,5,83680.09731878048,Q26852
4442378,Mathieu Faivre,8,10.0,0,126,172,17.39646,18.778547,4442378,1,10,0.0,Q731809
4472302,Compagnie générale aéropostale,7,11.153846,255,42,47,20.007538,-21.470142,4472302,2,14,1103.0000000000002,Q2723467
4480096,Initiative populaire fédérale,7,10.0,255,42,47,-11.302075,-17.003223,4480096,1,14,0.0,Q15078695
4480514,Anastasia Kuzmina,18,11.153846,0,148,245,23.042215,24.329288,4480514,2,7,1103.0,Q229640
4482818,Opération séduction aux Caraïbes,7,10.0,255,42,47,-5.740561,-21.651327,4482818,1,2,0.0,Q3354940
4527405,Tarjei Bø,18,11.153846,0,148,245,-15.312172,21.03074,4527405,2,7,0.0,Q120479
4527421,Anton Shipulin,18,12.307693,0,148,245,-3.4377892,-9.201172,4527421,3,7,2751.5,Q520291
4563643,Jemaine Clement,11,11.153846,175,95,13,-9.188638,2.0133245,4563643,2,0,0.0,Q439315
4572550,"Sissi (film, 1955)",19,27.307693,235,44,170,0.1485315,-9.772164,4572550,16,11,18713.656836335285,Q697501
4573148,Studios Disney de 1937 à 1941,12,10.0,0,134,74,-10.393533,6.8583083,4573148,1,3,0.0,Q3501059
4589443,Inna Modja,5,11.153846,0,160,220,-8.104563,-16.732447,4589443,2,9,0.0,Q3123796
4604280,Pascale Ogier,14,11.153846,60,163,0,-17.53722,24.886805,4604280,2,0,3443.1442301119964,Q446055
4627685,Tehauroarii,7,11.153846,255,42,47,24.573908,-16.890364,4627685,2,14,0.0,Q3517158
4689605,Passagers du Titanic,1,14.615385,0,164,49,16.901094,-18.533352,4689605,5,7,0.0,Q462554
4710854,Men in Black 3,11,20.384617,175,95,13,18.356537,-11.146811,4710854,10,0,3661.9645295093337,Q327713
4714073,Angela Hitler,19,13.461538,235,44,170,14.67854,-3.9182694,4714073,4,11,1103.0,Q78643
4758858,Miss Nord-Pas-de-Calais,2,93.07693,0,168,183,0.109644145,-14.949692,4758858,73,9,791.828015648219,Q3316574
4762410,Eugène de Savoie-Carignan,19,13.461538,235,44,170,9.048628,24.17389,4762410,4,11,69.8441741540194,Q152428
4784511,Shrek (série de films),12,13.461538,0,134,74,22.208794,18.857578,4784511,4,3,2203.9999999999995,Q1203222
4830793,Robert Kerman,12,11.153846,0,134,74,-2.907948,-14.36118,4830793,2,3,1591.835250177612,Q1291283
4845327,Miss France 2011,2,94.23077,0,168,183,-2.932259,3.213896,4845327,74,9,1410.4517141416934,Q3316495
4845430,Shrek (personnage),12,14.615385,0,134,74,24.425133,16.331686,4845430,5,3,54.83809523809524,Q52401
4849871,Le Chat potté (film),12,13.461538,0,134,74,-11.562948,24.089842,4849871,4,3,1191.0357275098982,Q324262
