,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
145702,Équipe_de_Nouvelle-Zélande_de_rugby_à_XV,15.806452,0,160,220,-15.90035,14.1931715,145702,3,23,0.25
146401,La_Zizanie_(film),18.709677,0,168,183,20.484367,15.821289,146401,4,5,1591.4991032382447
146877,Monza,12.903226,192,192,192,19.507215,-1.6478038,146877,2,17,2.6666666666666665
151133,Fred_Astaire,12.903226,114,121,10,20.98461,1.4278536,151133,2,1,2038.7640812890822
152902,Alain_Cuny,10.0,0,168,183,6.6460605,-6.500022,152902,1,5,0.0
153035,Danièle_Gilbert,10.0,0,134,74,-13.397096,18.231644,153035,1,19,0.0
153361,Jean_Girault,27.419353,0,134,135,-10.85894,-0.79232705,153361,7,12,3062.1809087632446
153482,Vincent_Guérin,10.0,235,94,0,20.346302,-19.701807,153482,1,3,0.0
154092,Révolution_iranienne,12.903226,60,163,0,-6.551843,-10.31098,154092,2,2,1117.0
154383,Championnat_de_France_de_rugby_à_XV,50.64516,0,160,220,-24.775475,8.012176,154383,15,23,35648.82857142822
155631,Paris_Saint-Germain_Football_Club_(féminines),21.612904,54,124,233,6.209611,0.6216283,155631,5,7,0.0
156249,Donetsk,18.709677,192,192,192,5.979699,-18.675259,156249,4,24,3347.0
156582,Sarin,18.709677,152,129,0,-8.54577,-16.139196,156582,4,6,4459.0
161817,Louis_Gallois,10.0,0,134,74,18.857525,0.8521096,161817,1,19,0.0
161924,Marthe_Keller,15.806452,0,168,183,-6.565487,9.376162,161924,3,5,86557.87717297563
164090,Châteaudouble_(Var),12.903226,0,126,172,23.135567,23.049929,164090,2,11,0.0
166531,État_de_droit,12.903226,60,163,0,4.178128,-16.811918,166531,2,2,0.0
167360,Geoffroy_Guichard,10.0,235,94,0,-19.010946,13.750737,167360,1,3,0.0
169197,Thierry_Meyssan,12.903226,153,96,160,-6.334612,9.5726385,169197,2,16,0.0
169349,Benoît_Jacquot,24.516129,255,42,47,11.687091,15.978169,169349,6,1,14645.656317557787
170676,Bretons_insulaires,18.709677,192,192,192,21.573174,23.096533,170676,4,2,2465.133116313506
171050,Joseph_Lieberman,10.0,175,95,13,18.400543,-18.612267,171050,1,13,0.0
