,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
486760,Francine_Bergé,8,12.8125,60,163,0,-4.75729,-22.45178,486760,2,4,0.0
494419,Charlotte_de_Robespierre,25,29.6875,255,42,47,18.072042,22.462954,494419,8,13,1595.3897779040876
496205,Roselyne_Bosch,15,29.6875,153,96,160,10.391236,-0.6309643,496205,8,14,54759.93351032337
497367,Championnat_du_monde_des_rallyes,10,15.625,0,134,74,-12.975634,-23.88976,497367,3,16,2305.0
498019,Les_Nuits_fauves,22,10.0,0,134,135,-13.726448,-23.618633,498019,1,8,0.0
499109,Luciano_Spalletti,19,12.8125,193,77,88,-11.960497,-19.187012,499109,2,12,3453.0
500266,Club_Deportivo_Leganés,19,15.625,193,77,88,18.722511,9.176712,500266,3,3,1153.0
502597,Galaxy_de_Los_Angeles,19,10.0,193,77,88,-13.093371,-15.30884,502597,1,12,0.0
508488,Guillaume_Durand,17,21.25,192,192,192,13.769538,4.8219438,508488,5,14,10981.856265190705
508706,Rod_Laver,18,15.625,114,121,10,-17.41215,17.34734,508706,3,19,0.0
508723,Christine_Pascal,8,10.0,60,163,0,5.013193,-14.983193,508723,1,13,0.0
509349,Nico_Rosberg,24,40.9375,0,157,116,17.124113,-11.025882,509349,12,18,6419.638786068191
509510,John_Rambo_(film),14,18.4375,235,44,170,23.369585,-12.628498,509510,4,7,0.0
512678,Valérie_Lagrange,6,18.4375,192,192,192,11.113901,-22.386822,512678,4,6,3397.8195906432807
516952,Training_Day,9,10.0,0,168,183,-24.129498,5.6620016,516952,1,6,0.0
521206,Marc_Dugain,25,10.0,255,42,47,-6.8084493,10.927244,521206,1,13,0.0
522053,Jeff_Daniels,23,15.625,0,164,49,14.367783,-2.4366477,522053,3,1,4600.0
522663,Thomas_Gibson,13,21.25,185,97,239,-8.544949,-4.6318164,522663,5,5,8028.999999999999
522678,Phylicia_Rashād,13,10.0,185,97,239,19.191906,-17.65444,522678,1,5,0.0
528260,Benoît_Assou-Ekotto,19,21.25,193,77,88,-15.421433,-5.665084,528260,5,12,3936.9287891433582
537955,Le_Tatoué,4,10.0,0,148,245,-6.213234,-19.563921,537955,1,4,0.0
537985,Henry_Djanik,14,18.4375,235,44,170,6.3268023,-13.4491415,537985,4,7,3456.0
542601,Frosinone,16,10.0,0,160,220,-13.3141575,-0.44481912,542601,1,17,0.0
555322,Guy_Stéphan,19,10.0,193,77,88,-11.074051,-13.457692,555322,1,12,0.0
560333,Iakoutsk,4,18.4375,0,148,245,-1.8330029,-13.14497,560333,4,13,6897.0
563914,Gérard_Sire,6,10.0,192,192,192,5.1628265,-16.778158,563914,1,6,0.0
566980,Bertrand_Renard,9,10.0,0,168,183,12.379209,17.56282,566980,1,6,0.0
569343,Nicolas_Canteloup,12,10.0,175,95,13,-2.1532886,18.722431,569343,1,9,0.0
572678,Mademoiselle_Agnès,17,18.4375,192,192,192,-12.847404,-6.493638,572678,4,14,8391.516022453643
594231,Stade_Jean-Bouin_(Paris),19,12.8125,193,77,88,10.706226,3.6132596,594231,2,12,0.0
599351,Natalie_Dessay,9,10.0,0,168,183,-18.216972,-10.074893,599351,1,8,0.0
599995,Nicolas_Mahut,18,21.25,114,121,10,2.9346526,22.059578,599995,5,19,1193.4333333333316
606930,Sébastien_Roch_(acteur),9,21.25,0,168,183,24.97523,-9.991607,606930,5,8,1530.666666666683
611163,Tragédie_de_Hillsborough,2,15.625,235,94,0,10.743868,10.432571,611163,3,0,0.0
613042,Klaas-Jan_Huntelaar,2,21.25,235,94,0,-15.76622,-6.1905117,613042,5,0,5997.889829504788
621611,Monique_Chaumette,8,15.625,60,163,0,-23.47065,-13.043089,621611,3,13,1153.0
621925,Jacky_(animateur),9,21.25,0,168,183,-20.222576,17.187702,621925,5,8,2304.0
