,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
972547,Droit_du_sol,15.0,193,77,88,5.209179,21.621214,972547,3,16,5467.0
973972,Liste_des_présentateurs_du_Journal_de_13_heures_de_France_2,15.0,0,134,74,-11.658518,13.6018715,973972,3,1,1369.0
975931,Brenda_Blethyn,15.0,41,139,0,20.080189,3.8118656,975931,3,14,388.6643689643689
976539,Lois_scélérates,17.5,192,192,192,-6.9844866,-13.862225,976539,4,24,455.3333333333556
979222,Zsa_Zsa_Gábor,10.0,41,139,0,19.701197,-14.744914,979222,1,14,0.0
979292,Jean-Michel_Aphatie,20.0,192,192,192,20.703503,-10.438168,979292,5,1,128487.07186173642
980803,Attentats_de_Beyrouth_du_23_octobre_1983,10.0,192,192,192,-16.156359,21.842506,980803,1,13,0.0
983179,Penelope_Ann_Miller,10.0,41,139,0,-12.77171,21.957626,983179,1,14,0.0
986969,Tom_Holland_(réalisateur),12.5,0,126,172,15.717188,17.5066,986969,2,3,0.0
987444,Églantine_Éméyé,55.0,235,94,0,6.188587,-0.4319574,987444,19,1,1372.4137694007222
992161,Laurent_Koscielny,10.0,60,163,0,17.958767,24.159193,992161,1,2,0.0
998260,Virginie_Lemoine,12.5,192,192,192,-9.382916,-11.674686,998260,2,7,5464.0
1005669,Zack_Snyder,22.5,54,124,233,-2.7511773,-5.9095125,1005669,6,3,2969.1373092980316
1018481,Maxwell_(football),15.0,60,163,0,-24.127123,-22.438478,1018481,3,2,6548.226257713232
1018520,Santiago_Solari,17.5,175,95,13,3.4376783,2.0551634,1018520,4,6,2198.874125874126
1028167,Soufrière_(Montserrat),12.5,54,124,233,-19.27466,-22.172789,1028167,2,3,0.0
1031666,Sang_pour_sang_(album),17.5,192,192,192,16.96179,-0.5790815,1031666,4,13,1820.5000000000027
1036272,Dora_Doll,12.5,193,77,88,15.897522,2.744683,1036272,2,5,1369.0
1040958,Speakeasy,12.5,0,134,74,-18.31853,-14.597885,1040958,2,4,3255.9986726889274
