,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
1616436,Nigel_Albon,10.0,192,192,192,-22.844234,16.375957,1616436,1,41,0.0
1621292,Mighty_Joe_Young_(1949_film),11.25,0,174,240,-2.5770168,6.882051,1621292,2,6,4602.0
1623229,Christopher_Gable,10.0,0,127,149,5.732437,-17.563467,1623229,1,1,0.0
1624191,Governor_of_the_Bank_of_England,11.25,0,159,54,23.659636,-20.974024,1624191,2,26,9202.0
1627728,Nick_Boles,11.25,0,159,54,-2.455846,-16.837976,1627728,2,26,8027.48360092743
1628353,Gary_Moeller,11.25,255,15,65,-14.231904,-17.744791,1628353,2,2,12177.766591020352
1632896,List_of_artificial_objects_on_Mars,46.25,0,136,97,-14.366222,23.423866,1632896,30,15,11616.264744281838
1638687,Layne_Beachley,11.25,176,94,34,10.026681,14.394567,1638687,2,27,0.0
1641893,Joy_Behar,12.5,228,71,225,-21.432837,-21.751604,1641893,3,7,9203.0
1646910,South_Sentinel_Island,21.25,0,135,255,-1.8116865,-21.598045,1646910,10,22,24.574322156919067
1657070,Sam_Kydd,10.0,192,192,192,-0.123381265,17.67292,1657070,1,38,0.0
1657465,Carl_Thomas_(singer),13.75,192,192,192,-13.557914,-15.613414,1657465,4,1,0.6666666666666666
1658934,Just_Born,10.0,0,174,240,5.939848,6.0823226,1658934,1,6,0.0
1661869,Jeff_Conine,10.0,254,0,145,-12.451672,2.8473966,1661869,1,36,0.0
1666479,Geremi,10.0,0,163,145,15.980468,22.438778,1666479,1,14,0.0
1669640,England_national_football_team_records_and_statistics,18.75,0,163,145,-16.381823,7.7112684,1669640,8,14,10515.032572285425
1669929,Ben_Howland,18.75,192,192,192,-5.4329867,16.109587,1669929,8,32,48229.925816113144
1672489,Cyclic_number,11.25,192,192,192,10.163049,5.3712287,1672489,2,40,4602.0
1678630,Christopher_Lasch,11.25,192,192,192,18.912535,7.4564114,1678630,2,12,2306.286058059587
1679152,Insignificance_(film),27.5,192,192,192,-5.2675605,-5.919671,1679152,15,18,3770.6451016155656
1687108,Tim_Holt,11.25,199,73,95,6.0496836,13.491233,1687108,2,16,9202.0
1693016,Cadillac_Series_62,10.0,192,192,192,15.839015,-15.148917,1693016,1,28,0.0
1698841,Robert_W._Welch_Jr.,10.0,0,159,54,9.999016,-5.3838515,1698841,1,26,0.0
